ARF_IDENT	DIRECTION	ICAO	FT_TYPE	FT_NO	RMK_SEQ	REMARKS	CYCLE_DATE
AR101	N	KZME	ARCP                	1	1	SOUTH ARCP-Between 1500-1630Z++ limited to either buddy, on course or enroute cell rendezvous.	200203
AR101	N	KZME	EXIT                	2	1	SOUTH EXIT-When refueling on the southbound track, aircraft will exit the track with turns to the right unless otherwise authorized by ATC.	200203
AR101	N	KZME	REFUELING ALTITUDES 	3	1	Refueling is prohibited between 1900Z++ and 2100Z++.	200203
AR101	N	KZME	ASSIGNED ARTCC      	4	1	SOUTH ASSIGNED ARTCC-ARCP-123.75; use ARIP 306.9/120.85 between 1500-1630Z++ or when buddy, on course or enroute cell is planned.	200203
AR101	S	KZME	ARCP                	1	1	SOUTH ARCP-Between 1500-1630Z++ limited to either buddy, on course or enroute cell rendezvous.	200203
AR101	S	KZME	EXIT                	2	1	SOUTH EXIT-When refueling on the southbound track, aircraft will exit the track with turns to the right unless otherwise authorized by ATC.	200203
AR101	S	KZME	REFUELING ALTITUDES 	3	1	Refueling is prohibited between 1900Z++ and 2100Z++.	200203
AR101	S	KZME	ASSIGNED ARTCC      	4	1	SOUTH ASSIGNED ARTCC-ARCP-123.75; use ARIP 306.9/120.85 between 1500-1630Z++ or when buddy, on course or enroute cell is planned.	200203
AR112L	E	KZFW	REFUELING ALTITUDES 	1	1	Or as assigned by ATC.	200602
AR112L	W	KZFW	REFUELING ALTITUDES 	1	1	Or as assigned by ATC.	200602
AR114		KZFW	NAVIGATION CHECK POI	1	1	Aircraft when reversing the track at the Navigation Check Point 1 will make a 15degrees bank left turn and roll out with approximately a 15 degrees intercept to course centerline.	200203
AR125V	S	KZAB	ARIP                	1	1	Alternate North ARIP-ONM VORTAC 301/47 N34-52-36 W107-29-54, ARCP-ONM VORTAC 297/41 N34-46-54 W107-27-42, EXIT-ONM VORTAC, 273/27, N34-27-18 W107-20-12.	200203
AR125V	S	KZAB	ARIP                	2	1	Alternate South ARIP-ONM VORTAC 273/27 N34-27-18 W107-20-12, ARCP-ONM VORTAC 282/31 N34-33-06 W107-22-24, EXIT-ONM VORTAC 301/47 N34-52-36 W107-29-54.	200203
AR135V	N	KZAB	NAVIGATION CHECK POI	1	1	AR135V is designed to be used in either direction on a magnetic course of 324.4 or 144.4 . The total length of the track is 30.5 NM, the width is 2 NM either side of centerline. VFR use only.	200406
AR135V	N	KZAB	NAVIGATION CHECK POI	2	1	CAUTION: AR 135V penetrates normal route width of VR239/244. Monitor 379.4. See and Avoid concept is paramount.	200406
AR135V	N	KZAB	REFUELING ALTITUDES 	3	1	Refueling altitudes are normally below Albuquerque Center and beyond Tucson TRACON radar advisory service capabilities.	200406
AR135V	N	KZAB	SCHEDULING UNIT     	4	1	Continuous times of operation.	200406
AR135V	S	KZAB	NAVIGATION CHECK POI	1	1	AR135V is designed to be used in either direction on a magnetic course of 324.4 or 144.4 . The total length of the track is 30.5 NM, the width is 2 NM either side of centerline. VFR use only.	200406
AR135V	S	KZAB	NAVIGATION CHECK POI	2	1	CAUTION: AR 135V penetrates normal route width of VR239/244. Monitor 379.4. See and Avoid concept is paramount.	200406
AR135V	S	KZAB	REFUELING ALTITUDES 	3	1	Refueling altitudes are normally below Albuquerque Center and beyond Tucson TRACON radar advisory service capabilities.	200406
AR135V	S	KZAB	SCHEDULING UNIT     	4	1	Continuous times of operation.	200406
AR136V	N	KZAB	NAVIGATION CHECK POI	1	1	AR136V is designed to be used in either direction on a magnetic course of 319.5 or 139.5 . The total length of the track is 59.7 NM, the width is 2 NM either side of centerline. VFR use only.	200406
AR136V	N	KZAB	NAVIGATION CHECK POI	2	1	CAUTION: Rapidly rising terrain.	200406
AR136V	N	KZAB	NAVIGATION CHECK POI	3	1	San Manuel airport (E77) may be used by fire fighting aircraft during fire season (Apr-Sep). Call Arizona State Fire Dispatch at C800-309-7081.	200406
AR136V	N	KZAB	REFUELING ALTITUDES 	4	1	Refueling altitudes are normally below Albuquerque Center radar advisory servicecapabilities.	200406
AR136V	N	KZAB	SCHEDULING UNIT     	5	1	Continuous times of operation.	200406
AR136V	N	KZAB	ASSIGNED ARTCC      	6	1	CAUTION: AR136V crosses numerous MTR's. See and Avoid concept is paramount.  Monitor 379.4 for VR239 deconfliction calls.	200406
AR136V	S	KZAB	NAVIGATION CHECK POI	1	1	AR136V is designed to be used in either direction on a magnetic course of 319.5 or 139.5 . The total length of the track is 59.7 NM, the width is 2 NM either side of centerline. VFR use only.	200406
AR136V	S	KZAB	NAVIGATION CHECK POI	2	1	CAUTION: Rapidly rising terrain.	200406
AR136V	S	KZAB	NAVIGATION CHECK POI	3	1	San Manuel airport (E77) may be used by fire fighting aircraft during fire season (Apr-Sep). Call Arizona State Fire Dispatch at C800-309-7081.	200406
AR136V	S	KZAB	REFUELING ALTITUDES 	4	1	Refueling altitudes are normally below Albuquerque Center radar advisory servicecapabilities.	200406
AR136V	S	KZAB	SCHEDULING UNIT     	5	1	Continuous times of operation.	200406
AR136V	S	KZAB	ASSIGNED ARTCC      	6	1	CAUTION: AR136V crosses numerous MTR's. See and Avoid concept is paramount.  Monitor 379.4 for VR239 deconfliction calls.	200406
AR137V	N	KZAB	ARIP                	1	1	AR137V is designed to be used in either direction on a magnetic course of 341  or 161 . The total length of the track is 40.5 NM, the width is 4 NM either side of centerline. Air Refueling may be conducted anywhere within the confines of th	200508
AR137V	N	KZAB	NAVIGATION CHECK POI	2	1	CAUTION: AR137V crosses numerous MTR's. See and Avoid concept is paramount.	200508
AR137V	N	KZAB	NAVIGATION CHECK POI	3	1	CAUTION: Rapidly rising terrain.	200508
AR137V	N	KZAB	REFUELING ALTITUDES 	4	1	Refueling altitudes are normally below Albuquerque Center radar advisory servicecapabilities.	200508
AR137V	N	KZAB	SCHEDULING UNIT     	5	1	Continuous times of operations.	200508
AR137V	S	KZAB	ARIP                	1	1	AR137V is designed to be used in either direction on a magnetic course of 341  or 161 . The total length of the track is 40.5 NM, the width is 4 NM either side of centerline. Air Refueling may be conducted anywhere within the confines of th	200508
AR137V	S	KZAB	NAVIGATION CHECK POI	2	1	CAUTION: AR137V crosses numerous MTR's. See and Avoid concept is paramount.	200508
AR137V	S	KZAB	NAVIGATION CHECK POI	3	1	CAUTION: Rapidly rising terrain.	200508
AR137V	S	KZAB	REFUELING ALTITUDES 	4	1	Refueling altitudes are normally below Albuquerque Center radar advisory servicecapabilities.	200508
AR137V	S	KZAB	SCHEDULING UNIT     	5	1	Continuous times of operations.	200508
