ARPT_IDENT	NAME	STATE_PROV	ICAO	FAA_HOST_ID	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	ELEV	TYPE	MAG_VAR	WAC	BEACON	SECOND_ARPT	OPR_AGY	SEC_NAME	SEC_ICAO	SEC_FAA	SEC_OPR_AGY	CYCLE_DATE
GM00001	KAMENZ		EDCM	N	WGE	WGE	N51174920	51.297000	E014073900	14.127500	00495	A	E002149 0105	0231	Y		CI					200507
GM00002	KARLSRUHE BADEN BADEN		EDSB	N	WGE	WGE	N48464567	48.779353	E008044980	8.080500	00408	A	E000339 0105	0231	Y		CI					200504
GM00004	OBERMEHLER SCHLOTHEIM		EDCO	N	WGE	WGE	N51160360	51.267667	E010380540	10.634833	00909	D	E001138 0105	0231			CI					200506
GM00012	BAMBERG AAF		ETEJ	N	WGE	WGE	N49551356	49.920433	E010545124	10.914233	00823	D	E001201 0105	0231	Y		AA					200405
GM00018	HOHENFELS AAF		ETIH	N	WGE	WGE	N49130500	49.218056	E011501000	11.836111	01455	C	E001357 0105	0231	Y		AA					200507
GM00027	NIEDERRHEIN		EDLV	N	WGE	WGE	N51360869	51.602414	E006083182	6.142172	00106	A	W000127 0105	0230	Y		CI					200504
GM00031	EGELSBACH		EDFE	N	WGE	WGE	N49573900	49.960833	E008382940	8.641500	00385	A	E000406 0105	0231	Y		CI					200506
GM00052	WORMS		EDFV	N	WGE	WGE	N49362344	49.606511	E008220624	8.368400	00295	D	E000367 0105	0231	Y		CI					200409
GM00067	BIBERACH AN DER RISS		EDMB	N	WGE	WGE	N48063960	48.111000	E009454620	9.762833	01903	D	E001032 0105	0231	Y		CI					200209
GM00085	ROTH		ETHR	N	WGE	WGE	N49130300	49.217500	E011060060	11.100167	01268	C	E001238 0105	0231	Y		GM					200411
GM00093	ZERBST		EDUZ	N	WGE	WGE	N51595100	51.997500	E012081260	12.136833	00266	D	E001405 0105	0231			PV					200506
GM00104	EGGENFELDEN		EDME	N	WGE	WGE	N48234620	48.396167	E012432520	12.723667	01342	A	E001524 0605	0231	Y		CI					200508
GM00121	STADTLOHN VREDEN		EDLS	N	WGE	WGE	N51594504	51.995844	E006502640	6.840667	00157	D	W000006 0105	0230	Y		CI					200508
GM00140	JENA SCHONGLEINA		EDBJ	N	WGE	WGE	N50545458	50.915161	E011425227	11.714519	01228	D	E001332 0105	0231			CI					200506
GM00149	HALLE OPPIN		EDAQ	N	WGE	WGE	N51330720	51.552000	E012030960	12.052667	00347	D	E001390 0105	0231	Y		CI					200505
GM00172	ALLENDORF EDER		EDFQ	N	WGE	WGE	N51020556	51.034878	E008405102	8.680839	01158	D	E000403 0405	0231	Y		CI					200505
GM00304	BREMGARTEN		EDTG	N	WGE	WGE	N47541140	47.903167	E007370420	7.617833	00695	D	E000284 0105	0253			PV					200410
