ARPT_IDENT	RMK_SEQ	REMARK	CYCLE_DATE
AA30079	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
AC44813	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
AE19613	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Rwy 13: Fly heading 128 , Rwy 31: Fly heading 308  and climb to 3000. Expect vectoring enroute by ABU DHABI APP CON.	200602
AE52272	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized, between the 245 -279  (M) bearings from arpt.	200602
AE56787	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Rwy 29: Diverse departures not authorized.   Rwy 11: Diverse departures not authorized between 165  to 076  CW from airport.	200602
AF50693	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  TAKE-OFF MINIMUMS:  Rwy 21:  200-1600m or standard with minimum climb rate of 230 ft/NM to 7000.  TAKE-OFF OBSTACLES:  Rwy 21:  4972' MSL Tower, .6 NM from DER, 1883' left of extended centerl	200602
AF50693	2	ine.  5024' MSL Tower, .73 NM from DER, 3300' left of extended centerline.	200602
AF60849	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Climb rwy heading to 5100 before turning NW.	200602
AF94313	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure  not authorized.  Rwy 11:  3200-4800m or standard with minimum climb rate of 400 ft/NM to 9500'.  Rwy 29:  1200-4800m or standard with minimum climb rate of 500 ft/NM to 800	200602
AF94313	2	0'.  TAKE-OFF Obstacles:  Rwy 11:  5876' terrain, 2' from DER, 296' left of centerline.	200602
AJ41498	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.  Rwy 34, use published Departure Procedures for obstacle avoidance.	200301
AL00001	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Rwy 18: Between 321  DER and 130DER CW, 9900-4800m or STANDARD with minimum climb rate 640 ft/NM to 10,000. Between 131  DER and 201  DER CW, 8800-4800m or STANDARD with minimum climb rate 4	200602
AL00001	2	00ft/NM to 8900. Between 202  DER and 250  DER CW, 1700-4800m or STANDARD with minimum climb rate 330 ft/NM to 1800. Between 291  DER and 320  DER CW, 1000-4800m or STANDARD with minimum climb rate 280 ft/NM to 1100.   Rwy 36: Between 001	200602
AL00001	3	DER and 170  DER CW, 9900-4800m or STANDARD with minimum climb rate 800 ft/NM to10,000. Between 184  DER and 300  DER CW, 1800-4800m or STANDARD with minimum climb rate 320 ft/NM to 1900. Between 340  DER and 360  DER CW, 4800-4800m or STA	200602
AL00001	4	NDARD with minimum climb rate 380 ft/NM to 4900.	200602
AM65746	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:    Diverse departure not authorized, use published departure procedure for obstacle avoidance.	200309
AQ90020	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  TAKE-OFF MINIMUMS:  Rwy 23, 600-2 or standard with minimum climb of 276'/NM to 500.  IFR DEPARTURE PROCEDURE:  Rwy 05, right turn. Rwy 23, immediate left turn heading 150 . All departures clim	200602
AQ90020	2	b S bnd between TUT R-090 and R-180 to 2200, then turn on course.   CAUTION: Ships with super structures to 150' docked at east end of Rwy 05-23, terrain to 459' 225 /4 NM from center of rwy.    IFR ALTERNATE MINIMUMS  ILS/DME Rwy 05(1)(2)	200602
AQ90020	3	NDB-C(3)(4)  VOR-D(2)(5)   VOR/DME or TACAN-A(2)  VOR/DME or TACAN-B(2)  (1) ILS, Categories C, D, 700-2.   (2) NA when control zone not in effect.   (3) Category D, 800-2 1/4.   (4) NA when control zone not in effect, except for operators	200602
AQ90020	4	with approved weather reporting service.  (5) Categories A, B, 1100-3; Categories C, D, 1100-3.	200602
AR00015	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departures not authorized.    Procedures developed IAW PANS-OPS criteria.    All procedures cross DER ator above 35' AGL.	200602
AR15586	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
AR17866	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
AR24649	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
AR25841	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
AR27439	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
AR51177	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Procedures developed IAW PANS-OPS criteria.    All departures cross DER at or above 35' AGL.    Diverse departure not authorized.	200602
AR58399	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departures not authorized.    Procedures developed IAW PANS-OPS criteria.    All procedures cross DER ator above 35' AGL.	200602
AR69106	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.    Procedures developed IAW PANS-OPS criteria.    All departures cross DER at or above 35' AGL.	200602
AR75372	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.   Procedures devloped IAW PANS-OPS criteria.   All departures cross DER at or above 35' AGL.	200602
AR80200	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.    Procedures developed IAW PANS-OPS criteria.    All departures cross DER at or above 35' AGL.	200602
AR91139	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
AS00740	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS04258	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS08942	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS10286	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.  TKOF OBSTACLES:  RWY 33:  Bldg, 11' AGL/20' MSL, 328' from DER, 328' right of RCL.  Cross DER at or above 6' AGL/15' MSL.	200505
AS12739	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS15072	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS28309	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS29962	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS38268	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS42456	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS43020	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS46891	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS49651	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS50510	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not aurthorized.	200301
AS51890	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS53590	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200210
AS54289	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS64221	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.    ALTERNATE MINIMUMS:  ILS or ILS/DME or LLZ/DME RWY 27  ILS or ILS/DME or LLZ/DME RWY 16  VOR/DME RWY 09  VOR/DME RWY 27  VOR/DME RWY 34  ALL categories 80	200602
AS64221	2	0-2 1/4.	200602
AS65049	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AS82556	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200602
AS82557	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200211
AS83442	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.   Rwy 03: minimum climb rate to 2500' is 290'/NM. At 1000', but not before DER, turn to assigned heading, 1800/3 ceiling and visibility authorized in lieu of	200211
AS83442	2	minimum climb rate.   Rwy 08: Track 082 . At 1000' , but not before DER, turn to assigned heading.  Rwy 21: Minimum climb rate to 1000', is 260'/NM. Track 212 .  At 1000', but not before DER, turn to assigned heading, 500/1 ceiling and vis	200211
AS83442	3	ibility authorized in lieu of minimum climb rate.  Rwy 26: Minimum climb rate to1500' is 305'/NM. Track 262 . At 1000', but not before DER, turn to assigned heading, 900/2 ceiling and visibility authorized in lieu of minimum climb rate.	200211
AS86864	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departures not authorized. Use appropriate departure procedures.	200301
AS89407	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:   Diverse departure not authorized.	200301
AS98836	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200211
AS98970	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
AU25150	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
AU58217	1	IFR TAKE-OFF MINIMUMS:  Diverse departure not authorized.	200207
AU76587	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BA36166	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  ASHLYN 1 DEPARTURE Rwy 33: Turn right to intercept ATC assigned heading or routing within 3 DME. If practicable,climb and maintain 500 AGL prior to turn.	200602
BA86670	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES   05048  Diverse departure not authorized, use published departure procedures for obstacle avoidance.	200602
BB61122	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BD02940	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BE42791	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
