BDRY_IDENT	SEG_NBR	CTRY_1	CTRY_2	CTRY_3	CTRY_4	CTRY_5	CYCLE_DATE
AG00002	10	BP					199511
AG00002	20	BP					199511
AG00002	30	BP					199511
AG00002	40	BP					199511
AG00002	45	BP					200404
AG00002	50	BP					199511
AG00002	60	BP					199707
AG00002	70	BP					199707
AG00002	80	BP					199809
AG00002	90	BP					199809
AG00002	100	BP					199809
AG00002	110	BP					199809
AG00002	120	BP					199809
AG00004	10	BP					199511
AG00004	20	BP					199511
AG00004	30	BP					199511
AG00004	40	BP					199511
AG00004	45	BP					200603
AG00004	50	BP					199511
AG00004	60	BP					199707
AG00004	70	BP					199707
AG00004	80	BP					199809
AG00004	90	BP					199809
AG00004	100	BP					199809
AG00004	110	BP					199809
AG00004	120	BP					199809
AG00006	10	BP					199511
AG00006	20	BP					199511
AG00006	30	BP					199511
AG00006	40	BP					199511
AG00006	45	BP					200404
AG00006	50	BP					199511
AG00006	60	BP					199707
AG00006	70	BP					199707
AG00006	80	BP					199809
AG00006	90	BP					199809
AG00006	100	BP					199809
AG00006	110	BP					199809
AG00006	120	BP					199809
AN00001	10	NR					199511
AN00001	20	NR					199511
AN00001	30	NR					199511
AN00001	40	NR					199511
AN00001	50	NR					199511
AN00001	60	NR					199511
AN00001	70	NR					199511
AN00002	10	NR					199511
AN00002	20	NR					199511
AN00002	30	NR					199511
AN00002	40	NR					199511
AN00002	50	NR					199511
AN00002	60	NR					199511
AN00002	70	NR					199511
AY00001	10	PP					199810
AY00001	20	PP					199810
AY00001	30	PP					199903
AY00001	40	PP					199903
AY00001	50	PP					199903
AY00001	60	PP					199903
AY00001	70	PP					199903
AY00001	80	PP					199903
AY00001	90	PP					199810
AY00001	100	PP					199810
AY00001	110	PP					199810
AY00001	120	PP					199810
AY00001	130	PP					199810
AY00001	140	PP					199810
AY00001	150	PP					199810
AY00001	160	PP					199810
AY00001	170	PP					199810
AY00001	180	PP					199810
AY00001	190	PP					199810
AY00001	200	PP					199810
AY00001	210	PP					199810
AY00001	220	PP					199810
AY00001	230	PP					199810
AY00001	240	PP					199810
AY00001	250	PP					199810
AY00001	260	PP					199810
AY00001	270	PP					199810
AY00001	280	PP					199810
AY00001	290	PP					199810
AY00001	300	PP					199810
AY00001	310	PP					199810
AY00001	320	PP					199810
AY00001	330	PP					199810
AY00001	340	PP					199810
AY00001	350	PP					199810
AY00001	360	PP					199810
AY00001	370	PP					199810
AY00001	380	PP					199810
AY00001	390	PP					199810
AY00001	400	PP					199810
AY00001	410	PP					199810
AY00001	420	PP					199810
AY00001	430	PP					199810
AY00001	440	PP					199810
AY00001	450	PP					199810
AY00001	460	PP					199810
AY00001	470	PP					199810
AY00001	480	PP					199810
AY00001	490	PP					199810
AY00001	500	PP					199810
AY00001	510	PP					199810
AY00001	520	PP					199810
AY00001	530	PP					199810
AY00001	540	PP					199810
AY00001	550	PP					199810
AY00001	560	PP					199810
AY00001	570	PP					199810
AY00001	580	PP					199810
AY00001	590	PP					199810
AY00001	600	PP					199810
AY00001	610	PP					199810
AY00002	10	PP					199810
AY00002	20	PP					199810
AY00002	30	PP					199810
AY00002	40	PP					199810
AY00002	50	PP					199810
AY00002	60	PP					199810
AY00002	70	PP					199810
AY00002	80	PP					199810
AY00002	90	PP					199810
AY00002	100	PP					199810
AY00002	110	PP					199810
AY00002	120	PP					199810
AY00002	130	PP					199810
AY00002	140	PP					199810
AY00002	150	PP					199810
AY00002	160	PP					199810
AY00002	170	PP					199810
AY00002	180	PP					199810
AY00002	190	PP					199810
AY00002	200	PP					199810
AY00002	210	PP					199810
AY00002	220	PP					199810
AY00002	230	PP					199810
AY00002	240	PP					199810
AY00002	250	PP					199810
AY00002	260	PP					199810
AY00002	270	PP					199810
AY00002	280	PP					199810
AY00002	290	PP					199810
AY00002	300	PP					199810
AY00002	310	PP					199810
AY00002	320	PP					199810
AY00002	330	PP					199810
AY00002	340	PP					199810
AY00002	350	PP					199810
AY00002	360	PP					199810
AY00002	370	PP					199810
AY00002	380	PP					199810
AY00002	390	PP					199810
AY00002	400	PP					199810
AY00002	410	PP					199810
AY00002	420	PP					199810
AY00002	430	PP					199810
AY00002	440	PP					199810
AY00002	450	PP					199810
AY00002	460	PP					199810
AY00002	470	PP					199810
AY00002	480	PP					199810
AY00002	490	PP					199810
AY00002	500	PP					199810
AY00002	510	PP					199810
AY00002	520	PP					199810
AY00002	530	PP					199810
AY00002	540	PP					199810
AY00002	550	PP					199810
AY00002	560	PP					199810
