HELI_IDENT	SEQ_NBR	LENGTH	WIDTH	SURFACE	AC_TYPE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	LGT_SYS_1	LGT_SYS_2	LGT_SYS_3	HIGH_IDENT	HIGH_HDG	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	LOW_IDENT	LOW_HDG	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	HIGH_TRUE	LOW_TRUE	CLD_RWY	PAD_ID	CYCLE_DATE
AJ00016	1	08670	00148	CON		N40234075	40.394653	E050120127	50.200353							40.394653		50.200353						18	174.2		40.394653		50.200353	U	U				359.4	179.4			200407
AL00009	50	00068	00060	ASP			41.313556		19.890275							41.313556		19.890275	U	U							41.313556		19.890275										200007
BE98362	50	00065	00065	CON															U	U							41.313556		19.890275										200502
BF00001	50	00100	00100	CON			24.708681		-77.772800				1			24.708681		-77.772800	U	U							24.708681		-77.772800									1	200007
BF00001	51	00100	00100	CON			24.709219		-77.772694				2			24.709219		-77.772694	U	U							24.709219		-77.772694									2	200007
BF00001	52	00100	00100	CON			24.709761		-77.772586				3			24.709761		-77.772586	U	U							24.709761		-77.772586									3	200007
BF00001	53	00100	00100	CON			24.710306		-77.772481				4			24.710306		-77.772481	U	U							24.710306		-77.772481									4	200007
BK00005	50	00050	00050	ASP			44.852206		18.753592							44.852206		18.753592	U	U							44.852206		18.753592										199903
BK00005	51	00050	00050	ASP			44.852392		18.754044							44.852392		18.754044	U	U							44.852392		18.754044										199903
BK00005	52	00050	00050	ASP			44.852592		18.754547							44.852592		18.754547	U	U							44.852592		18.754547										199903
BK00005	53	00050	00050	ASP			44.852789		18.755067							44.852789		18.755067	U	U							44.852789		18.755067										199903
BK00005	54	00050	00050	ASP			44.852042		18.754139							44.852042		18.754139	U	U							44.852042		18.754139										199903
BK00005	55	00050	00050	ASP			44.852253		18.754653							44.852253		18.754653	U	U							44.852253		18.754653										199903
CA00373	50	00180	00125	GRS			45.130556		-75.948333							45.130556		-75.948333	U	U							45.130556		-75.948333										200205
GM00005	1	01212	00065	ASP	CH47	N49183071	49.308531	E010382834	10.641206							49.308531		10.641206			02	05	09	08	78.0		49.308531		10.641206	1532.0	0.0	05	09		258.0	78.0			200110
GM00007	1	02200	00060	ASP	U21	N49572106	49.955850	E008583360	8.976000							49.955850		8.976000						07	68.0		49.955850		8.976000	430.0	0.0				248.0	68.0			200208
