WPT_ID	WPT_CTRY	ICAO	DUP	INB_CRS	TURN_DIR	LENGTH	TIME	ALT_ONE	ALT_TWO	SPEED	TRACK_CD	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
ABB	US	KZID	20	0680	L	3					HM	ABB	2	US	1	200209
ABENY	CA	CZEG	10	1820	L	6					HM					200208
ABENY	CA	CZEG	20	1820	L	3					HM					200208
ABIDE	US	KZJX	20	1990	L	3					HM					200209
ABR	US	KZMP	10	0960	R	3					HM	ABR	4	US	1	200209
ABRUT	RO	LRBB	40	0790	R	3		05000			HM					200513
ACA	MX	MMFR	60	1020	R	3		03000			HF	ACA	4	MX	1	200406
ACE	US	PAZA	20	0310	L	3					HM	ACE	5	US	1	200209
ACOVE	US	KZBW	20	2110	R	3					HM					200209
ACT	US	KZFW	20	1480	R	4					HM	ACT	2	US	1	200209
AD010	AS	YPAD	50	0350	L		1.0				HM	AD	4	AS	1	200406
ADX	SP	LECB	40	1250	R	3		05000			HM	ADX	5	SP	1	200405
AES	US	PAZA	20	0460	R	3					HM	AES	5	US	1	200209
AFM19	KG	UAFM	50	1390	R	5				230	HM	AFM	3	KG	1	200407
AHN	US	KZTL	20	0150	R	3					HM	AHN	2	US	2	200209
AIR	US	KZOB	20	0440	L	3					HM	AIR	4	US	1	200209
AIX	US	PAZA	20	2280	R	3					HM	AIX	7	US	1	200209
AKAMO	NZ	NZZC	00	3590	R	5		02000	FL460	280	HM					200312
AKANE	JA	RJTG	10	0960	R		1.5	FL160	FL330	240	HM					200307
ALC	JA	RORG	10	2140	R		1.5	FL240	FL600	240	HM	ALC	2	JA	1	200307
ALDER	US	KZSE	10	3450	R	3					HM					200209
ALIXX	US	KHPN	20	2880	L	3					HM					200209
ALOMO	CA	CZEG	10	2340	R	6					HM					200208
ALOMO	CA	CZEG	20	2340	R	3					HM					200208
ALPOE	US	KZDV	40	0930	R	3					HM					200408
ALROD	WE	OJAC	40	3150	L	3		06000			HM					200410
ALTAM	US	KZOA	20	1770	L	3					HM					200209
ALVIN	US	KZJX	20	1220	L	3					HM					200209
AMB	FR	LFFF	10	0140	R		1.5	FL200	FL240	240	HM	AMB	4	FR	1	200403
AMB	FR	LFFF	11	0140	R		1.5	FL250	FL280		HM	AMB	4	FR	1	200403
AMERT	CA	CZYZ	10	2560	R	3					HM					200209
AMFOU	FR	LFMM	10	1370	R		1.5			240	HM					200403
AMIGO	US	KLAX	40	3000	L	3					HM					200403
AMOTT	US	PAZA	10	0410	R	3					HM	ANC	4	US	1	200209
ANC	US	PAZA	00	0530	R	3					HM	ANC	4	US	1	200402
ANK	TU	LTAC	40	0330	L		1.0	06500			HA	ANK	7	TU	1	200408
ANNIE	TH	VTBD	40	0960	L	3		FL130		240	HM					200403
ANT	BE	EBBR	40	1190	L	3		FL080			HM	ANT	4	BE	1	200601
ANTEE	UK	EGUN	50	1010	R	8			FL100		HM	MLD	3	UK	1	200409
ANUNY	US	KZSE	20	1000	L	4					HM					200504
APNEL	CA	CZYZ	20	1360	L	3					HM					200208
ARA	GR	LGGG	40	3440	R	3		05000			HM	ARA	4	GR	1	200410
ARBIS	RO	LRBB	40	1760	L	3		10000			HM					200513
ARD	US	KZDC	20	0530	R	3					HM	ARD	4	US	1	200209
ARDYN	US	KFMN	20	2560	R	3					HM					200209
ARNES	US	KLAX	40	2490	L	3					HM					200403
ARNNE	US	KZHU	40	1300	R	20					HM					200311
ARNOL	US	KZKC	20	3500	L	3					HM					200511
ARRIE	US	KZSE	10	1010	R	3					HM					200209
ARRVD	US	KLAX	40	2490	R	3					HM					200602
ARTIP	NL	EHAM	40	2520	R		1.0	FL70		250	HA	SPL	4	NL	1	200402
ATBEX	AE	OMAE	10	3120	R		1.5	FL150	FL600		HM					200504
ATCOS	TU	LTBA	40	0590	R	3		02600			HM	IST	2	TU	1	200601
ATE	JA	RJTG	10	0340	L	13		FL210	FL600	240	HM	ATE	4	JA	1	200307
ATGUP	GM	EDDI	40	0210	R	3		04000			HM					200313
ATTIX	US	KZOB	10	2880	L	3					HM					200209
AUGUS	US	KZID	20	2230	R	3					HM					200209
AUTIM	US	KZDV	40	0960	R	3					HM					200408
