MTR_IDENT	SEG_NBR	SEQ_NBR	SUAS_MOA_ID	CYCLE_DATE	SECTOR	PT_IDENT	NX_POINT
IR012	80	1	R5306A	200205		E1	FA
IR015	30	1	MOA US 02196	200205		D	E
IR015	40	1	MOA US 02196	200205		E	F
IR015	50	1	MOA US 02196	200205		F	G
IR015	60	1	MOA US 01316	200205		G	H
IR016	0	2	MOA US 01746	200205		A	B
IR016	10	1	MOA US 01746	200205		B	C
IR016	10	2	R3008C	200205		B	C
IR016	10	3	R3008C(A)	200205		B	C
IR016	10	4	A684	200205		B	C
IR016	20	1	MOA US 01746	200205		C	D
IR016	20	2	MOA US 01748	200205		C	D
IR016	20	3	A684	200205		C	D
IR016	20	4	R3008C	200205		C	D
IR016	30	1	MOA US 01748	200205		D	E
IR017	10	1	A211	200205		B	C
IR017	40	1	MOA US 02196	200205		E	F
IR017	50	1	MOA US 02196	200205		F	G
IR017	60	1	MOA US 01316	200205		G	H
IR018	0	2	MOA US 01064	200205		A	B
IR018	0	3	MOA US 01066	200205		A	B
IR018	0	4	MOA US 01068	200205		A	B
IR018	50	1	MOA US 01950	200205		F	G
IR018	70	1	W158A	200205		H	I
IR019	40	1	A211	200205		E	F
IR019	50	1	A211	200205		F	G
IR019	60	1	A211	200205		G	H
IR020	50	1	R2934	200205		F	G
IR020	100	1	MOA US 01840	200205		AA	AB
IR020	100	2	R2907A	200205		AA	AB
IR021	0	3	MOA US 01314	200205		A	B
IR021	0	4	MOA US 01312	200205		A	B
IR021	0	5	MOA US 01310	200205		A	B
IR021	0	6	MOA US 01306	200205		A	B
IR021	0	7	MOA US 01308	200205		A	B
IR021	0	8	MOA US 01866	200205		A	B
IR021	0	9	MOA US 01867	200205		A	B
IR021	0	11	R2915A	200205		A	B
IR021	10	1	MOA US 01312	200205		B	C
IR021	10	2	MOA US 02022	200205		B	C
IR021	20	1	MOA US 02196	200205		C	D
IR021	20	2	A211	200205		C	D
IR021	30	1	MOA US 02202	200205		D	E
IR021	30	2	MOA US 02200	200205		D	E
IR021	30	3	MOA US 02214	200205		D	E
IR021	30	4	MOA US 02196	200205		D	E
IR021	40	1	MOA US 02200	200205		E	F
IR021	40	2	MOA US 02202	200205		E	F
IR021	40	3	MOA US 02214	200205		E	F
IR021	40	4	MOA US 02196	200205		E	F
IR021	50	1	MOA US 01750	200205		F	G
IR021	50	2	A211	200205		F	G
IR021	100	1	MOA US 02022	200205		K	L
IR023	10	1	MOA US 01950	200205		B	C
IR023	20	1	MOA US 01950	200205		C	D
IR023	60	1	MOA US 01842	200205		G	H
IR023	60	2	MOA US 01840	200205		G	H
IR023	60	3	R2907B	200205		G	H
IR023	60	4	R2910	200205		G	H
IR023	60	5	R2910(A)	200205		G	H
IR026	0	3	W368D	200205		A	B
IR026	20	1	W428	200205		C	D
IR027	0	2	W373A	200205		A	B
IR027	0	3	W373C	200205		A	B
IR030	0	2	MOA US 01316	200205		A	A1
IR030	0	3	R2914A	200205		A	A1
IR030	0	4	R2919A	200205		A	A1
IR030	10	1	MOA US 01316	200205		A1	A2
IR030	10	2	R2914A	200205		A1	A2
IR030	10	3	R2919A	200205		A1	A2
IR030	10	4	R2917	200205		A1	A2
IR030	20	1	MOA US 01316	200205		A2	B
IR030	20	2	R2914A	200205		A2	B
IR030	20	3	R2918	200205		A2	B
IR030	30	1	MOA US 01316	200205		B	C
IR030	30	2	MOA US 01310	200205		B	C
IR030	30	3	MOA US 01312	200205		B	C
IR030	30	4	A211	200205		B	C
IR030	40	1	MOA US 01310	200205		C	D
IR030	40	2	MOA US 01312	200205		C	D
IR030	40	3	MOA US 01314	200205		C	D
IR030	40	4	A211	200205		C	D
IR030	50	1	A211	200205		D	E
IR030	60	1	A211	200205		E	F
IR030	60	2	A292	200205		E	F
IR030	70	1	MOA US 01178	200205		F	G
IR030	70	2	A292	200205		F	G
IR030	80	1	MOA US 01178	200205		G	H
IR030	80	2	MOA US 01180	200205		G	H
IR030	90	1	MOA US 01178	200205		H	I
IR030	90	2	MOA US 01180	200205		H	I
IR030	120	1	A292	200205		K	L
IR030	130	1	A292	200205		L	M
IR030	130	2	A211	200205		L	M
IR030	140	1	A211	200205		M	N
IR030	150	1	A211	200205		N	O
IR030	150	2	MOA US 01310	200205		N	O
IR030	150	3	MOA US 01312	200205		N	O
IR030	150	4	MOA US 01314	200205		N	O
IR030	160	1	MOA US 01316	200205		O	P
IR030	160	2	MOA US 01310	200205		O	P
IR030	160	3	MOA US 01312	200205		O	P
IR030	160	4	R2914A	200205		O	P
IR031	0	5	MOA US 01316	200205		A	A1
IR031	0	6	R2919A	200205		A	A1
IR031	0	7	R2914A	200205		A	A1
IR031	10	1	R2914A	200205		A1	A2
IR031	10	2	R2919A	200205		A1	A2
IR031	10	3	R2917	200205		A1	A2
IR031	10	4	MOA US 01316	200205		A1	A2
IR031	20	1	MOA US 01310	200205		A2	B
IR031	20	2	MOA US 01312	200205		A2	B
IR031	20	3	R2914A	200205		A2	B
IR031	20	4	R2918	200205		A2	B
IR031	30	1	MOA US 01310	200205		B	C
IR031	30	2	MOA US 01312	200205		B	C
IR031	30	3	A211	200205		B	C
IR031	40	1	MOA US 01310	200205		C	D
IR031	40	2	MOA US 01312	200205		C	D
IR031	40	3	MOA US 01314	200205		C	D
IR031	40	4	A211	200205		C	D
IR031	50	1	A211	200205		D	E
IR031	60	1	A211	200205		E	F
IR031	60	2	A292	200205		E	F
IR031	70	1	A292	200205		F	G
IR031	100	1	MOA US 01178	200205		I	J
IR031	100	2	MOA US 01180	200205		I	J
IR031	110	1	MOA US 01178	200205		J	K
IR031	110	2	MOA US 01180	200205		J	K
IR031	120	1	MOA US 01178	200205		K	L
IR031	120	2	MOA US 01180	200205		K	L
IR031	120	3	A292	200205		K	L
IR031	130	1	A211	200205		L	M
IR031	130	2	A292	200205		L	M
IR031	140	1	A211	200205		M	N
IR031	150	1	MOA US 01310	200205		N	O
IR031	150	2	MOA US 01312	200205		N	O
IR031	150	3	MOA US 01314	200205		N	O
IR031	150	4	A211	200205		N	O
IR031	160	1	MOA US 01310	200205		O	P
IR031	160	2	MOA US 01312	200205		O	P
IR031	160	3	MOA US 01316	200205		O	P
IR031	160	4	A211	200205		O	P
IR031	160	5	R2914A	200205		O	P
IR031	160	6	R2918	200205		O	P
IR032	30	1	R2903A	200205		D	E
IR032	40	1	R2903A	200205		E	F
IR032	40	2	R2903C	200205		E	F
IR032	40	3	R2903D	200205		E	F
IR032	50	1	W158A	200205		F	G
IR032	50	2	W158E	200205		F	G
IR033	0	1	W158A	200205		A	B
IR033	0	2	W158E	200205		A	B
IR033	10	2	R2903A	200205		B	C
IR033	10	3	R2903C	200205		B	C
IR033	10	4	R2903D	200205		B	C
IR033	20	1	R2903A	200205		C	D
IR033	50	1	W470A	200205		F1	G
IR035	40	1	MOA US 01886	200205		E	F
IR035	40	2	MOA US 01888	200205		E	F
IR035	40	3	MOA US 01890	200205		E	F
IR035	40	4	R6002A	200205		E	F
IR035	50	1	MOA US 01886	200205		F	G
IR036	50	1	MOA US 01886	200205		F	G
IR036	50	2	MOA US 01888	200205		F	G
IR036	60	1	MOA US 01886	200205		G	H
IR040	40	1	MOA US 01250	200205		E	F
IR040	40	2	MOA US 01252	200205		E	F
IR040	50	1	MOA US 01250	200205		F	G
IR040	50	2	MOA US 01252	200205		F	G
IR040	50	3	MOA US 01254	200205		F	G
IR040	60	1	MOA US 01254	200205		G	H
IR046	80	1	MOA US 01034	200205		I	J
IR046	80	2	R2901E	200205		I	J
IR046	80	3	R2901D	200205		I	J
IR046	80	4	R2901C	200205		I	J
IR047	30	1	MOA US 01658	200205		D	E
IR047	30	2	MOA US 01034	200205		D	E
IR047	30	3	R2901C	200205		D	E
IR048	0	4	R2901A	200205		A	B
IR049	40	1	MOA US 01036	200205		E	F
IR049	40	2	R2901I	200205		E	F
IR050	50	1	MOA US 01036	200205		F	G
IR050	50	2	R2901I	200205		F	G
IR051	100	1	MOA US 01034	200205		K	L
IR051	100	2	R2901E	200205		K	L
IR051	110	1	R2901C	200205		L	M
IR051	110	2	R2901D	200205		L	M
IR051	110	3	R2901E	200205		L	M
IR051	110	4	MOA US 01034	200205		L	M
IR053	40	1	W174E	200205		E	F
IR056	130	1	R2901E	200205		N	O
IR057	0	2	MOA US 01306	200205		A	B
IR057	0	3	MOA US 01310	200205		A	B
IR057	100	1	MOA US 02196	200205		K	L
IR057	120	1	MOA US 01312	200205		M	N
IR057	120	2	MOA US 01314	200205		M	N
IR057	120	3	A211	200205		M	N
IR057	130	1	MOA US 01306	200205		N	O
IR057	130	2	MOA US 01308	200205		N	O
IR057	130	3	MOA US 01310	200205		N	O
IR057	130	4	A211	200205		N	O
IR057	130	5	A292	200205		N	O
IR057	140	1	MOA US 01306	200205		O	P
IR057	140	2	MOA US 01308	200205		O	P
IR057	140	3	A292	200205		O	P
IR057	140	4	R2915A	200205		O	P
IR057	160	1	MOA US 01310	200205		N	NA
IR057	160	2	MOA US 01312	200205		N	NA
IR057	160	3	MOA US 01316	200205		N	NA
IR057	160	4	A211	200205		N	NA
IR057	160	5	R2918	200205		N	NA
IR057	160	6	R2914A	200205		N	NA
IR059	0	4	MOA US 01306	200205		A	B
IR059	0	5	MOA US 01310	200205		A	B
IR059	0	6	MOA US 01312	200205		A	B
IR059	0	7	A211	200205		A	B
IR059	10	1	MOA US 01312	200205		B	C
IR059	10	2	MOA US 01314	200205		B	C
IR059	10	3	A211	200205		B	C
IR059	130	1	MOA US 01306	200205		N	O
IR059	130	2	MOA US 01308	200205		N	O
IR059	130	3	MOA US 01310	200205		N	O
IR059	130	4	A292	200205		N	O
IR059	140	1	MOA US 01308	200205		O	P
IR059	140	2	MOA US 01306	200205		O	P
IR059	140	3	MOA US 01316	200205		O	P
IR059	140	4	A292	200205		O	P
IR059	140	5	R2915A	200205		O	P
IR059	160	1	MOA US 01310	200205		N	B1
IR059	160	2	MOA US 01312	200205		N	B1
IR059	160	3	A211	200205		N	B1
IR059	170	1	MOA US 01310	200205		B1	BA
IR059	170	2	MOA US 01312	200205		B1	BA
IR059	170	3	MOA US 01316	200205		B1	BA
IR059	170	4	A211	200205		B1	BA
IR059	170	5	R2914A	200205		B1	BA
IR059	170	6	R2918	200205		B1	BA
IR062	130	1	R5306A	200205		L	LA
IR074	50	1	MOA US 01166	200205		F	G
IR074	50	2	MOA US 01164	200205		F	G
IR074	50	3	MOA US 01176	200205		F	G
IR074	60	1	MOA US 01164	200205		G	H
IR074	60	2	MOA US 01168	200205		G	H
IR102	0	3	R5103B	200205		A	B
IR102	30	1	MOA US 02153	200205		D	E
IR102	40	1	MOA US 02153	200205		E	F
IR102	50	1	MOA US 02153	200205		F	G
IR102	180	1	R5103B	200205		S	A1
IR103	40	1	A561	200205		E	F
IR105	70	1	R5601D	200205		H	I
IR107	170	1	R5105	200205		Q	M1
IR107	190	1	R5105	200205		M2	M3
IR107	190	2	R5104A	200205		M2	M3
IR107	210	1	MOA US 01864	200205		M4	M5
IR107	220	1	MOA US 01864	200205		M5	M6
IR107	220	2	MOA US 02150	200205		M5	M6
IR107	220	3	MOA US 01860	200205		M5	M6
IR107	230	1	R5105	200205		M6	M7
IR107	340	1	R5105	200205		Q	M1
IR107	410	1	R5105	200205		Q	M1
IR109	120	1	MOA US 01764	200205		K	L
IR109	130	1	MOA US 01764	200205		L	M
IR109	170	1	MOA US 02150	200205		P	Q
IR109	170	2	R5105	200205		P	Q
IR109	190	1	MOA US 01864	200205		P1	AA
IR109	200	1	MOA US 01864	200205		AA	AB
IR109	210	1	MOA US 01864	200205		AB	AC
IR109	220	1	MOA US 01864	200205		AC	AD
IR109	240	1	R5104A	200205		AE	AF
IR109	260	1	R5104A	200205		AF1	AE1
IR109	270	1	MOA US 01864	200205		AE1	AG
IR109	280	1	MOA US 01864	200205		AG	AH
IR109	280	2	MOA US 02150	200205		AG	AH
IR109	290	1	R5105	200205		AH	AI
IR109	310	1	R5105	200205		AI1	AH1
IR109	320	1	MOA US 01860	200205		AH1	AG1
IR109	320	2	MOA US 01864	200205		AH1	AG1
IR109	320	3	MOA US 01858	200205		AH1	AG1
IR109	320	4	MOA US 02150	200205		AH1	AG1
IR109	320	5	R5105	200205		AH1	AG1
IR109	320	6	R5104A	200205		AH1	AG1
IR109	330	1	MOA US 01864	200205		AG1	AE2
IR109	340	1	R5104A	200205		AE2	AF2
IR109	390	1	MOA US 01764	200205		K	L
IR109	400	1	MOA US 01764	200205		L	M
IR109	440	1	MOA US 02150	200205		P	Q
IR109	440	2	R5105	200205		P	Q
IR109	460	1	MOA US 01764	200205		AN	M1
IR109	500	1	MOA US 02150	200205		P	Q
IR109	500	2	R5105	200205		P	Q
IR111	70	1	MOA US 01764	200205		H	I
IR111	80	1	MOA US 01764	200205		I	J
IR111	90	1	MOA US 01764	200205		J	K
IR111	180	1	R5105	200205		S	S1
IR111	190	1	R5105	200205		S1	T
IR111	190	2	R5104A	200205		S1	T
IR111	210	1	MOA US 01864	200205		U	V
IR111	220	1	MOA US 01864	200205		V	W
IR111	220	2	MOA US 01860	200205		V	W
IR111	220	3	MOA US 01858	200205		V	W
IR111	230	1	R5105	200205		W	S2
IR111	270	1	MOA US 01764	200205		Y	J1
IR111	370	1	R5105	200205		S	S1
IR111	380	1	R5105	200205		S1	T
IR111	380	2	R5104A	200205		S1	T
IR111	400	1	MOA US 01864	200205		U	V
IR111	410	1	MOA US 01864	200205		V	W
IR111	410	2	MOA US 01860	200205		V	W
IR111	410	3	MOA US 01858	200205		V	W
IR111	420	1	R5105	200205		W	S2
IR111	460	1	R5105	200205		S	S1
IR111	470	1	R5105	200205		S1	T
IR111	470	2	R5104A	200205		S1	T
IR111	490	1	MOA US 01864	200205		U	V
IR111	500	1	MOA US 01864	200205		V	W
IR111	500	2	MOA US 01860	200205		V	W
IR111	500	3	MOA US 01858	200205		V	W
IR111	510	1	R5105	200205		W	S2
IR111	560	1	MOA US 01860	200205		AC	AD
IR111	560	2	MOA US 02150	200205		AC	AD
IR113	10	1	MOA US 01860	200205		B	C
IR113	130	1	MOA US 01864	200205		N	TO
IR113	140	1	MOA US 01864	200205		TO	P
IR113	150	1	MOA US 01864	200205		P	XQ
IR113	190	1	MOA US 01858	200205		EE	E
IR113	290	1	MOA US 01864	200205		N	TO
IR113	300	1	MOA US 01864	200205		TO	P
IR113	310	1	MOA US 01864	200205		P	XQ
IR113	380	1	R5107B	200205		EK	K1
IR113	450	1	MOA US 01864	200205		M3	M4
IR113	460	1	MOA US 01864	200205		M4	M5
IR113	460	2	MOA US 01860	200205		M4	M5
IR113	460	3	MOA US 02150	200205		M4	M5
IR113	470	1	MOA US 02150	200205		M5	M1
IR113	470	2	R5105	200205		M5	M1
IR113	500	1	MOA US 01864	200205		P	XQ1
IR113	550	1	R5107C	200205		F1	F2
IR113	550	2	R5107B	200205		F1	F2
IR113	550	3	R5107H	200205		F1	F2
IR113	640	1	MOA US 01864	200205		N	TO
IR113	650	1	MOA US 01864	200205		TO	P
IR113	660	1	MOA US 01864	200205		P	XQ
IR115	0	1	R5107D	200205		A	B
IR115	0	2	R5107B	200205		A	B
IR115	0	3	R5103B	200205		A	B
IR115	10	1	MOA US 02153	200205		B	C
IR116	0	2	MOA US 02153	200205		A	B
IR116	10	1	R5107D	200205		B	C
IR116	10	2	R5107B	200205		B	C
IR116	10	3	R5103B	200205		B	C
IR117	40	1	MOA US 01492	200205		E	F
IR117	40	2	MOA US 01494	200205		E	F
IR117	50	1	R2402	200205		F	G
IR120	30	1	MOA US 01488	200205		D	E
IR120	30	2	R2402	200205		D	E
IR121	20	1	MOA US 01492	200205		C	D
IR121	30	1	MOA US 01492	200205		D	E
IR121	40	1	MOA US 01494	200205		E	F
IR121	40	2	R2402	200205		E	F
