MTR_IDENT	SEG_NBR	PT_IDENT	PT_USAGE	PT_LAT	PT_DLAT	PT_LONG	PT_DLONG	PT_WIDTH_L	PT_WIDTH_R	PT_TRN_RAD	PT_TRN_DIR	PT_BI_SEC	NX_POINT	NX_USAGE	NX_LAT	NX_DLAT	NX_LONG	NX_DLONG	NX_WIDTH_L	NX_WIDTH_R	NX_TRN_RAD	NX_TRN_DIR	NX_BI_SEC	CYCLE_DATE
IR002	0	A	S	N36040000	36.066666	W084390000	-84.650000	5.0	5.0			1205	B	T	N36300000	36.500000	W084200000	-84.333333	5.0	5.0			1523	200204
IR002	10	B	T	N36300000	36.500000	W084200000	-84.333333	5.0	5.0			1523	C	T	N36280000	36.466667	W083450000	-83.750000	5.0	5.0			2013	200204
IR002	20	C	T	N36280000	36.466667	W083450000	-83.750000	5.0	5.0			2013	D	T	N36100000	36.166668	W083170000	-83.283333	5.0	5.0			2420	200204
IR002	30	D	T	N36100000	36.166668	W083170000	-83.283333	5.0	5.0			2420	E	T	N36000000	36.000000	W083160000	-83.266667	5.0	5.0			2635	200204
IR002	40	E	T	N36000000	36.000000	W083160000	-83.266667	5.0	5.0			2635	F	T	N35490000	35.816666	W083140000	-83.233333	5.0	5.0			2594	200204
IR002	50	F	T	N35490000	35.816666	W083140000	-83.233333	5.0	5.0			2594	G	T	N35400000	35.666668	W083113000	-83.191666	5.0	5.0			2587	200204
IR002	60	G	T	N35400000	35.666668	W083113000	-83.191666	5.0	5.0			2587	H	X	N35330000	35.549999	W083100000	-83.166667	5.0	5.0			2601	200204
IR012	0	A	S	N34210000	34.350000	W078170000	-78.283333	5.0	5.0			0970	B	A	N34480000	34.799999	W078130000	-78.216667	4.0	4.0			1255	200204
IR012	10	B	A	N34480000	34.799999	W078130000	-78.216667	4.0	4.0			1255	C	T	N34580000	34.966667	W077480000	-77.800000	4.0	4.0			1504	200204
IR012	20	C	T	N34580000	34.966667	W077480000	-77.800000	4.0	4.0			1504	D	T	N35120000	35.200001	W077220000	-77.366667	4.0	4.0			1575	200204
IR012	30	D	T	N35120000	35.200001	W077220000	-77.366667	4.0	4.0			1575	E	B	N35180000	35.299999	W076470000	-76.783333	3.0	1.0			1619	200204
IR012	40	E	B	N35180000	35.299999	W076470000	-76.783333	3.0	1.0			1619	F	T	N35210000	35.350000	W076390000	-76.650000	3.0				1423	200204
IR012	80	E1	B	N35180000	35.299999	W076470000	-76.783333	3.0	3.0			2001	FA	B	N35163000	35.275000	W076420000	-76.700000	3.0	3.0			2001	200204
IR012	50	F	T	N35210000	35.350000	W076390000	-76.650000	3.0				1423	G	T	N35390000	35.650000	W076210000	-76.350000	3.0	3.0			1404	200204
IR012	60	G	T	N35390000	35.650000	W076210000	-76.350000	3.0	3.0			1404	H	X	N35410000	35.683334	W076163001	-76.275002	3.0	3.0			1514	200206
IR015	0	A	S	N30320000	30.533333	W083580000	-83.966667	5.0	5.0			2650	B	A	N30020000	30.033333	W083550000	-83.916667	5.0	2.0			3126	200204
IR015	10	B	A	N30020000	30.033333	W083550000	-83.916667	5.0	2.0			3126	C	A	N30020000	30.033333	W084210000	-84.350000	5.0	5.0			0252	200204
IR015	20	C	A	N30020000	30.033333	W084210000	-84.350000	5.0	5.0			0252	D	T	N30230000	30.383333	W084410000	-84.683334	3.0	3.0			0402	200204
IR015	30	D	T	N30230000	30.383333	W084410000	-84.683334	3.0	3.0			0402	E	B	N30313000	30.525000	W084580000	-84.966667	3.0	4.0			0209	200204
IR015	40	E	B	N30313000	30.525000	W084580000	-84.966667	3.0	4.0			0209	F	B	N30360000	30.600000	W085230000	-85.383333	3.0	4.0			0019	200204
IR015	50	F	B	N30360000	30.600000	W085230000	-85.383333	3.0	4.0			0019	G	T	N30330000	30.549999	W085480000	-85.800000	5.0	5.0			0023	200204
IR015	60	G	T	N30330000	30.549999	W085480000	-85.800000	5.0	5.0			0023	H	X	N30380000	30.633333	W086140000	-86.233333	5.0	5.0			0124	200204
IR016	0	A	S	N31373000	31.625000	W083200000	-83.333333	8.0	8.0			2353	B	T	N31170000	31.283333	W083033000	-83.058334	8.0	8.0			2394	200204
IR016	10	B	T	N31170000	31.283333	W083033000	-83.058334	8.0	8.0			2394	C	T	N30590000	30.983334	W082530000	-82.883333	8.0	8.0			2521	200204
IR016	20	C	T	N30590000	30.983334	W082530000	-82.883333	8.0	8.0			2521	D	C	N30403000	30.674999	W082493000	-82.825000	4.0	3.0			2727	200204
IR016	30	D	C	N30403000	30.674999	W082493000	-82.825000	4.0	3.0			2727	E	T	N30190000	30.316668	W082560000	-82.933334	12.0	7.0			2773	200204
IR016	40	E	T	N30190000	30.316668	W082560000	-82.933334	12.0	7.0			2773	F	B	N30000000	30.000000	W082560000	-82.933334	4.0	4.0			2347	200204
IR016	50	F	B	N30000000	30.000000	W082560000	-82.933334	4.0	4.0			2347	G	T	N29560000	29.933332	W082430000	-82.716667	4.0	4.0			1897	200204
IR016	60	G	T	N29560000	29.933332	W082430000	-82.716667	4.0	4.0			1897	H	T	N29560000	29.933332	W082260000	-82.433334	4.0	4.0			1943	200204
IR016	70	H	T	N29560000	29.933332	W082260000	-82.433334	4.0	4.0			1943	I	T	N29470000	29.783333	W082070000	-82.116667	4.0	4.0			2055	200204
IR016	80	I	T	N29470000	29.783333	W082070000	-82.116667	4.0	4.0			2055	J	X	N29403000	29.674999	W081490000	-81.816666	4.0	4.0			2026	200204
IR017	0	A	S	N32090000	32.150000	W085350000	-85.583333	5.0	5.0			2137	B	T	N31530000	31.883333	W085070000	-85.116667	5.0	5.0			2378	200204
IR017	90	AA	T	N30264800	30.446667	W084483000	-84.808334	4.0	4.0			2391	AB	B	N30154800	30.263334	W084381800	-84.638333	4.0	4.0			2312	200204
IR017	10	B	T	N31530000	31.883333	W085070000	-85.116667	5.0	5.0			2378	C	T	N30540000	30.900000	W084570000	-84.950000	4.0	5.0			2613	200204
IR017	20	C	T	N30540000	30.900000	W084570000	-84.950000	4.0	5.0			2613	D	T	N30380000	30.633333	W084540000	-84.900000	5.0	5.0			2900	200204
IR017	30	D	T	N30380000	30.633333	W084540000	-84.900000	5.0	5.0			2900	E	T	N30350000	30.583334	W084580000	-84.966667	4.0	3.0			3409	200204
IR017	80	D1	T	N30380000	30.633333	W084540000	-84.900000	4.0	4.0			2469	AA	T	N30264800	30.446667	W084483000	-84.808334	4.0	4.0			2391	200204
IR017	40	E	T	N30350000	30.583334	W084580000	-84.966667	4.0	3.0			3409	F	T	N30360000	30.600000	W085230000	-85.383333	4.0	3.0			3574	200204
IR017	50	F	T	N30360000	30.600000	W085230000	-85.383333	4.0	3.0			3574	G	T	N30330000	30.549999	W085480000	-85.800000	5.0	5.0			0023	200204
IR017	60	G	T	N30330000	30.549999	W085480000	-85.800000	5.0	5.0			0023	H	X	N30380000	30.633333	W086140000	-86.233333	5.0	5.0			0124	200206
IR018	0	A	S	N31570000	31.950001	W080410000	-80.683334	4.0	4.0			1146	B	T	N33140000	33.233334	W079590000	-79.983333	4.0	4.0			0825	200204
IR018	10	B	T	N33140000	33.233334	W079590000	-79.983333	4.0	4.0			0825	C	T	N33230000	33.383333	W080080000	-80.133333	4.0	4.0			0145	200204
IR018	20	C	T	N33230000	33.383333	W080080000	-80.133333	4.0	4.0			0145	D	T	N32560000	32.933334	W081300000	-81.500000	4.0	4.0			3204	200204
IR018	30	D	T	N32560000	32.933334	W081300000	-81.500000	4.0	4.0			3204	E	B	N31460000	31.766666	W082220000	-82.366667	4.0	4.0			2789	200204
IR018	40	E	B	N31460000	31.766666	W082220000	-82.366667	4.0	4.0			2789	F	A	N31190000	31.316668	W082140000	-82.233333	4.0	4.0			2171	200204
IR018	50	F	A	N31190000	31.316668	W082140000	-82.233333	4.0	4.0			2171	G	T	N31200000	31.333334	W081270000	-81.450000	4.0	4.0			1932	200204
IR018	60	G	T	N31200000	31.333334	W081270000	-81.450000	4.0	4.0			1932	H	T	N31110000	31.183332	W081070000	-81.116667	4.0	4.0			2381	200204
IR018	70	H	T	N31110000	31.183332	W081070000	-81.116667	4.0	4.0			2381	I	X	N30100000	30.166666	W081050000	-81.083333	4.0	4.0			2684	200204
IR019	0	A	S	N30130000	30.216667	W082260000	-82.433334	4.0	4.0			0138	B	T	N30270000	30.450001	W083330000	-83.550000	4.0	4.0			0541	200204
IR019	10	B	T	N30270000	30.450001	W083330000	-83.550000	4.0	4.0			0541	C	T	N31070000	31.116667	W083290000	-83.483333	4.0	4.0			0791	200204
IR019	20	C	T	N31070000	31.116667	W083290000	-83.483333	4.0	4.0			0791	D	T	N31510000	31.850000	W083550000	-83.916667	4.0	4.0			0262	200204
IR019	30	D	T	N31510000	31.850000	W083550000	-83.916667	4.0	4.0			0262	E	T	N31460000	31.766666	W084260000	-84.433334	4.0	4.0			3469	200204
IR019	40	E	T	N31460000	31.766666	W084260000	-84.433334	4.0	4.0			3469	F	T	N31370000	31.616667	W085040000	-85.066666	4.0	4.0			3288	200204
IR019	50	F	T	N31370000	31.616667	W085040000	-85.066666	4.0	4.0			3288	G	T	N31170393	31.284424	W085255245	-85.431236	4.0	4.0			2606	200204
IR019	60	G	T	N31170393	31.284424	W085255245	-85.431236	4.0	4.0			2606	H	T	N30540000	30.900000	W084360000	-84.600000	4.0	4.0			2271	200204
IR019	70	H	T	N30540000	30.900000	W084360000	-84.600000	4.0	4.0			2271	I	T	N30040000	30.066668	W084100000	-84.166667	4.0	4.0			2249	200204
IR019	80	I	T	N30040000	30.066668	W084100000	-84.166667	4.0	4.0			2249	J	T	N29350000	29.583334	W082560000	-82.933334	4.0	4.0			1784	200204
IR019	90	J	T	N29350000	29.583334	W082560000	-82.933334	4.0	4.0			1784	K	X	N29550000	29.916666	W082120000	-82.200000	4.0	4.0			1527	200204
IR020	0	A	S	N27450000	27.750000	W082450000	-82.750000	4.0	4.0			2728	B	T	N27270000	27.450001	W082460000	-82.766667	4.0	4.0			2519	200204
IR020	100	AA	T	N29170000	29.283333	W081240000	-81.400000	4.0	4.0			3490	AB	B	N29100000	29.166666	W081350000	-81.583333	4.0	4.0			3240	200204
IR020	10	B	T	N27270000	27.450001	W082460000	-82.766667	4.0	4.0			2519	C	T	N26470000	26.783333	W082100000	-82.166667	4.0	4.0			2062	200204
IR020	20	C	T	N26470000	26.783333	W082100000	-82.166667	4.0	4.0			2062	D	T	N26450000	26.750000	W080440000	-80.733333	4.0	4.0			1459	200204
IR020	30	D	T	N26450000	26.750000	W080440000	-80.733333	4.0	4.0			1459	E	T	N27390000	27.650000	W080220000	-80.366667	4.0	4.0			0871	200204
IR020	40	E	T	N27390000	27.650000	W080220000	-80.366667	4.0	4.0			0871	F	T	N28210000	28.350000	W080450000	-80.750000	4.0	4.0			0679	200204
IR020	50	F	T	N28210000	28.350000	W080450000	-80.750000	4.0	4.0			0679	G	T	N28505400	28.848333	W080560600	-80.935000	4.0	4.0			0751	200204
IR020	60	G	T	N28505400	28.848333	W080560600	-80.935000	4.0	4.0			0751	H	T	N29120000	29.200001	W081010000	-81.016667	4.0	4.0			0674	200204
IR020	70	H	T	N29120000	29.200001	W081010000	-81.016667	4.0	4.0			0674	I	X	N29590000	29.983334	W081370000	-81.616667					0561	200204
IR020	90	H1	T	N29120000	29.200001	W081010000	-81.016667	4.0	4.0			0140	AA	T	N29170000	29.283333	W081240000	-81.400000	4.0	4.0			3490	200204
IR021	0	A	S	N30432668	30.724079	W087010508	-87.018078	10.0	10.0			1535	B	T	N31010000	31.016666	W086200000	-86.333333	10.0	10.0			1689	200204
IR021	10	B	T	N31010000	31.016666	W086200000	-86.333333	10.0	10.0			1689	C	T	N30580000	30.966667	W085320000	-85.533333	10.0	10.0			2076	200204
IR021	20	C	T	N30580000	30.966667	W085320000	-85.533333	10.0	10.0			2076	D	T	N30260000	30.433332	W085020000	-85.033333	10.0	10.0			2253	200204
IR021	30	D	T	N30260000	30.433332	W085020000	-85.033333	10.0	10.0			2253	E	T	N29580000	29.966667	W084230000	-84.383333	10.0	10.0			1386	200204
IR021	40	E	T	N29580000	29.966667	W084230000	-84.383333	10.0	10.0			1386	F	C	N30400000	30.666666	W084540000	-84.900000	10.0	10.0			0682	200204
IR021	50	F	C	N30400000	30.666666	W084540000	-84.900000	10.0	10.0			0682	G	T	N31520000	31.866667	W085100000	-85.166667	10.0	10.0			0657	200204
IR021	60	G	T	N31520000	31.866667	W085100000	-85.166667	10.0	10.0			0657	H	T	N32410000	32.683334	W085550000	-85.916667	10.0	10.0			0246	200204
IR021	70	H	T	N32410000	32.683334	W085550000	-85.916667	10.0	10.0			0246	I	T	N32400000	32.666668	W086200000	-86.333333	10.0	10.0			3180	200204
IR021	80	I	T	N32400000	32.666668	W086200000	-86.333333	10.0	10.0			3180	J	T	N32180000	32.299999	W086240000	-86.400000	10.0	10.0			2688	200204
IR021	90	J	T	N32180000	32.299999	W086240000	-86.400000	10.0	10.0			2688	K	T	N31430000	31.716667	W086160000	-86.266667	10.0	10.0			2797	200204
IR021	100	K	T	N31430000	31.716667	W086160000	-86.266667	10.0	10.0			2797	L	X	N31240000	31.400000	W086290000	-86.483333	10.0	10.0			3003	200204
IR022	0	A	S	N35125557	35.215436	W079351669	-79.587969	10.0	10.0			0025	B	T	N35140000	35.233334	W080070000	-80.116667	10.0	10.0			0182	200204
IR022	10	B	T	N35140000	35.233334	W080070000	-80.116667	10.0	10.0			0182	C	A	N35460000	35.766666	W081050000	-81.083333	10.0	10.0			0536	200204
IR022	20	C	A	N35460000	35.766666	W081050000	-81.083333	10.0	10.0			0536	D	T	N36080000	36.133333	W081130000	-81.216667	10.0	10.0			0444	200204
IR022	30	D	T	N36080000	36.133333	W081130000	-81.216667	10.0	10.0			0444	E	T	N36200000	36.333332	W082080000	-82.133333	10.0	10.0			3558	200204
IR022	40	E	T	N36200000	36.333332	W082080000	-82.133333	10.0	10.0			3558	F	T	N36060000	36.100000	W082480000	-82.800000	10.0	10.0			3009	200204
IR022	50	F	T	N36060000	36.100000	W082480000	-82.800000	10.0	10.0			3009	G	B	N35150000	35.250000	W082430000	-82.716667	10.0	10.0			2770	200204
IR022	60	G	B	N35150000	35.250000	W082430000	-82.716667	10.0	10.0			2770	H	B	N34480000	34.799999	W082540000	-82.900000	10.0	10.0			3153	200204
IR022	70	H	B	N34480000	34.799999	W082540000	-82.900000	10.0	10.0			3153	I	T	N34410000	34.683334	W083200000	-83.333333	10.0	10.0			2798	200204
IR022	80	I	T	N34410000	34.683334	W083200000	-83.333333	10.0	10.0			2798	J	X	N34210000	34.350000	W082490000	-82.816666	10.0	10.0			2181	200204
IR023	0	A	S	N32260000	32.433334	W081570000	-81.950000	5.0	5.0			2837	B	B	N32050000	32.083332	W082030000	-82.050000	5.0	5.0			2820	200204
IR023	10	B	B	N32050000	32.083332	W082030000	-82.050000	5.0	5.0			2820	C	T	N31510000	31.850000	W082060000	-82.100000	5.0	5.0			2714	200204
IR023	20	C	T	N31510000	31.850000	W082060000	-82.100000	5.0	5.0			2714	D	C	N31120000	31.200001	W082000000	-82.000000	5.0	5.0			2808	200204
IR023	30	D	C	N31120000	31.200001	W082000000	-82.000000	5.0	5.0			2808	E	T	N30190000	30.316668	W082340000	-82.566666	5.0	5.0			2995	200204
IR023	40	E	T	N30190000	30.316668	W082340000	-82.566666	5.0	5.0			2995	F	T	N30130000	30.216667	W082380000	-82.633333	5.0	5.0			2695	200204
IR023	50	F	T	N30130000	30.216667	W082380000	-82.633333	5.0	5.0			2695	G	B	N29410000	29.683332	W082160000	-82.266667	5.0	5.0			2343	200204
IR023	60	G	B	N29410000	29.683332	W082160000	-82.266667	5.0	5.0			2343	H	X	N29070000	29.116667	W081430000	-81.716667	5.0	5.0			2298	200204
IR026	0	A	S	N18450000	18.750000	W065123000	-65.208333	2.0	2.0			2583	B	C	N18150000	18.250000	W065060000	-65.100000	2.0	2.0			2588	200204
IR026	10	B	C	N18150000	18.250000	W065060000	-65.100000	2.0	2.0			2588	C	T	N18000000	18.000000	W065030000	-65.050000	2.0	2.0			3226	200204
IR026	20	C	T	N18000000	18.000000	W065030000	-65.050000	2.0	2.0			3226	D	X	N18040000	18.066668	W065113600	-65.193333	2.0	2.0			0259	200204
IR027	0	A	S	N17470000	17.783333	W065300000	-65.500000	2.0	2.0			1126	B	X	N17583000	17.975000	W065250000	-65.416667	2.0	2.0			1126	200204
IR030	0	A	S	N30181800	30.305000	W086163600	-86.276667	5.0	5.0			0837	A1	T	N30274200	30.461667	W086174800	-86.296667	5.0	5.0			0834	200204
IR030	10	A1	T	N30274200	30.461667	W086174800	-86.296667	5.0	5.0			0834	A2	T	N30365400	30.615000	W086190600	-86.318333	5.0	5.0			0832	200204
IR030	20	A2	T	N30365400	30.615000	W086190600	-86.318333	5.0	5.0			0832	B	C	N30433000	30.725000	W086200000	-86.333333	2.0	5.0			0762	200204
IR030	30	B	C	N30433000	30.725000	W086200000	-86.333333	2.0	5.0			0762	C	T	N30530000	30.883333	W086241200	-86.403333	5.0	5.0			0644	200204
IR030	40	C	T	N30530000	30.883333	W086241200	-86.403333	5.0	5.0			0644	D	C	N31060000	31.100000	W086330000	-86.550000	5.0	5.0			0598	200204
IR030	50	D	C	N31060000	31.100000	W086330000	-86.550000	5.0	5.0			0598	E	T	N31100000	31.166666	W086354200	-86.595001	5.0	5.0			0622	200204
IR030	60	E	T	N31100000	31.166666	W086354200	-86.595001	5.0	5.0			0622	F	T	N31250000	31.416666	W086440000	-86.733333	5.0	5.0			0623	200204
IR030	70	F	T	N31250000	31.416666	W086440000	-86.733333	5.0	5.0			0623	G	T	N31560000	31.933332	W087050000	-87.083333	5.0	5.0			0138	200204
IR030	80	G	T	N31560000	31.933332	W087050000	-87.083333	5.0	5.0			0138	H	T	N31370000	31.616667	W087400000	-87.666667	5.0	5.0			3132	200204
IR030	90	H	T	N31370000	31.616667	W087400000	-87.666667	5.0	5.0			3132	I	T	N31191200	31.320000	W087513000	-87.858333	5.0	5.0			2865	200204
IR030	100	I	T	N31191200	31.320000	W087513000	-87.858333	5.0	5.0			2865	J	T	N31164800	31.280001	W087514200	-87.861667	5.0	5.0			2374	200204
IR030	110	J	T	N31164800	31.280001	W087514200	-87.861667	5.0	5.0			2374	K	T	N31111800	31.188334	W087344800	-87.580000	5.0	5.0			1885	200204
IR030	120	K	T	N31111800	31.188334	W087344800	-87.580000	5.0	5.0			1885	L	T	N31130000	31.216667	W087040000	-87.066666	5.0	5.0			1852	200204
IR030	130	L	T	N31130000	31.216667	W087040000	-87.066666	5.0	5.0			1852	M	T	N31070000	31.116667	W086360000	-86.600000	5.0	5.0			1976	200204
IR030	140	M	T	N31070000	31.116667	W086360000	-86.600000	5.0	5.0			1976	N	C	N31060000	31.100000	W086330000	-86.550000	5.0	5.0			2205	200204
IR030	150	N	C	N31060000	31.100000	W086330000	-86.550000	5.0	5.0			2205	O	T	N30530000	30.883333	W086241200	-86.403333	5.0	2.0			2444	200204
IR030	160	O	T	N30530000	30.883333	W086241200	-86.403333	5.0	2.0			2444	P	X	N30433000	30.725000	W086200000	-86.333333	5.0	2.0			2491	200204
IR031	0	A	S	N30181800	30.305000	W086163600	-86.276667	5.0	5.0			0837	A1	T	N30274200	30.461667	W086174800	-86.296667	5.0	5.0			0834	200204
IR031	10	A1	T	N30274200	30.461667	W086174800	-86.296667	5.0	5.0			0834	A2	T	N30365400	30.615000	W086190600	-86.318333	5.0	5.0			0832	200204
IR031	20	A2	T	N30365400	30.615000	W086190600	-86.318333	5.0	5.0			0832	B	B	N30433000	30.725000	W086200000	-86.333333	2.0	5.0			0762	200204
IR031	30	B	B	N30433000	30.725000	W086200000	-86.333333	2.0	5.0			0762	C	T	N30530000	30.883333	W086241200	-86.403333	5.0	5.0			0644	200204
IR031	40	C	T	N30530000	30.883333	W086241200	-86.403333	5.0	5.0			0644	D	C	N31060000	31.100000	W086330000	-86.550000	5.0	5.0			0405	200204
IR031	50	D	C	N31060000	31.100000	W086330000	-86.550000	5.0	5.0			0405	E	T	N31070000	31.116667	W086360000	-86.600000	5.0	5.0			0176	200204
IR031	60	E	T	N31070000	31.116667	W086360000	-86.600000	5.0	5.0			0176	F	T	N31130000	31.216667	W087040000	-87.066666	5.0	5.0			0052	200204
IR031	70	F	T	N31130000	31.216667	W087040000	-87.066666	5.0	5.0			0052	G	T	N31111800	31.188334	W087344800	-87.580000	5.0	5.0			0085	200204
IR031	80	G	T	N31111800	31.188334	W087344800	-87.580000	5.0	5.0			0085	H	T	N31164800	31.280001	W087514200	-87.861667	5.0	5.0			0574	200204
IR031	90	H	T	N31164800	31.280001	W087514200	-87.861667	5.0	5.0			0574	I	T	N31191200	31.320000	W087513000	-87.858333	5.0	5.0			1065	200204
IR031	100	I	T	N31191200	31.320000	W087513000	-87.858333	5.0	5.0			1065	J	T	N31370000	31.616667	W087400000	-87.666667	5.0	5.0			1332	200204
IR031	110	J	T	N31370000	31.616667	W087400000	-87.666667	5.0	5.0			1332	K	T	N31560000	31.933332	W087050000	-87.083333	5.0	5.0			1938	200204
IR031	120	K	T	N31560000	31.933332	W087050000	-87.083333	5.0	5.0			1938	L	T	N31250000	31.416666	W086440000	-86.733333	5.0	5.0			2423	200204
IR031	130	L	T	N31250000	31.416666	W086440000	-86.733333	5.0	5.0			2423	M	T	N31100000	31.166666	W086354200	-86.595001	5.0	5.0			2422	200204
IR031	140	M	T	N31100000	31.166666	W086354200	-86.595001	5.0	5.0			2422	N	C	N31060000	31.100000	W086330000	-86.550000	5.0	5.0			2398	200204
IR031	150	N	C	N31060000	31.100000	W086330000	-86.550000	5.0	5.0			2398	O	T	N30530000	30.883333	W086241200	-86.403333	2.0	5.0			2444	200204
IR031	160	O	T	N30530000	30.883333	W086241200	-86.403333	2.0	5.0			2444	P	X	N30433000	30.725000	W086200000	-86.333333	2.0	5.0			2491	200204
IR032	0	A	S	N29300000	29.500000	W084000000	-84.000000	10.0	10.0			1348	B	T	N29510000	29.850000	W083360000	-83.600000	10.0	10.0			1437	200204
IR032	10	B	T	N29510000	29.850000	W083360000	-83.600000	10.0	10.0			1437	C	T	N29560000	29.933332	W083250000	-83.416667	10.0	10.0			1662	200204
IR032	20	C	T	N29560000	29.933332	W083250000	-83.416667	10.0	10.0			1662	D	T	N29560000	29.933332	W083050000	-83.083333	10.0	10.0			1799	200204
IR032	30	D	T	N29560000	29.933332	W083050000	-83.083333	10.0	10.0			1799	E	T	N29560000	29.933332	W082000000	-82.000000	10.0	10.0			1753	200204
IR032	40	E	T	N29560000	29.933332	W082000000	-82.000000	10.0	10.0			1753	F	T	N30020000	30.033333	W081190000	-81.316666	10.0	10.0			1701	200204
IR032	50	F	T	N30020000	30.033333	W081190000	-81.316666	10.0	10.0			1701	G	X	N30050000	30.083334	W081000000	-81.000000	10.0	10.0			1698	200204
IR033	0	A	S	N30050000	30.083334	W081000000	-81.000000	10.0	10.0			3498	B	T	N30020000	30.033333	W081190000	-81.316666	10.0	10.0			3501	200204
IR033	10	B	T	N30020000	30.033333	W081190000	-81.316666	10.0	10.0			3501	C	T	N29560000	29.933332	W082000000	-82.000000	10.0	10.0			3553	200204
IR033	20	C	T	N29560000	29.933332	W082000000	-82.000000	10.0	10.0			3553	D	T	N29560000	29.933332	W083050000	-83.083333	10.0	10.0			3599	200204
IR033	30	D	T	N29560000	29.933332	W083050000	-83.083333	10.0	10.0			3599	E	T	N29560000	29.933332	W083250000	-83.416667	10.0	10.0			3462	200204
IR033	40	E	T	N29560000	29.933333	W083250000	-83.416667	10.0	10.0			3462	F1	T	N29510000	29.850000	W083360000	-83.600000	10.0	10.0			3237	200204
IR033	70	E	B	N29560000	29.933333	W083250000	-83.416667	10.0	10.0			0131	F2	B	N30020000	30.033333	W083550000	-83.916667	10.0	10.0			0128	200204
IR033	50	F1	T	N29510000	29.850000	W083360000	-83.600000	10.0	10.0			3237	G	X	N29300000	29.500000	W084000000	-84.000000	10.0	10.0			3148	200206
IR034	0	A	S	N25070000	25.116667	W081070000	-81.116667	8.0	8.0			0722	B	T	N25240000	25.400000	W081130000	-81.216667	8.0	8.0			0715	200204
IR034	10	B	T	N25240000	25.400000	W081130000	-81.216667	8.0	8.0			0715	C	T	N25460000	25.766667	W081213000	-81.358333	8.0	8.0			0803	200204
IR034	20	C	T	N25460000	25.766667	W081213000	-81.358333	8.0	8.0			0803	D	A	N25543000	25.908333	W081213000	-81.358333	8.0	8.0			0900	200204
IR034	30	D	A	N25543000	25.908333	W081213000	-81.358333	8.0	8.0			0900	E	T	N26150000	26.250000	W081213000	-81.358333	8.0	8.0			0963	200204
