PR_IDENT	ICAO	LEVEL	START_NAME	DEST_NAME	ACFT_TYPE	ACFT_SPEED	UPPER_ALT	LOWER_ALT	EFFE_TIME1	EFFE_TIME2	EFFE_TIME3	CYCLE_DATE	STRT_ICAO	DEST_ICAO
CZ00001	CZ	H	BAGOTVILLE	PIERRE ELLIOTT TRUDEAU INTL			FL500	5900				200313	CTBG	CYUL
CZ00002	CZ	H	BAIE COMEAU	PIERRE ELLIOTT TRUDEAU INTL								200313	CYBC	CYUL
CZ00003	CZ	H	BAIE COMEAU	QUEBEC JEAN LESAGE INTL								200209	CYBC	CYQB
CZ00004	CZ	H	CALGARY INTL	CRANBROOK								200209	CYYC	CYXC
CZ00006	CZ	H	CALGARY INTL	EDMONTON INTL								200209	CYYC	CYEG
CZ00010	CZ	H	CALGARY INTL	VANCOUVER INTL								200209	CYYC	CYVR
CZ00012	CZ	H	CRANBROOK	CALGARY INTL								200209	CYXC	CYYC
CZ00014	CZ	H	CRANBROOK	VANCOUVER INTL								200209	CYXC	CYVR
CZ00015	CZ	H	EDMONTON INTL	CALGARY INTL								200209	CYEG	CYYC
CZ00016	CZ	H	EDMONTON INTL	VANCOUVER INTL								200209	CYEG	CYVR
CZ00017	CZ	H	EDMONTON INTL	WINNIPEG INTL								200209	CYEG	CYWG
CZ00019	CZ	H	HALIFAX INTL	PIERRE ELLIOTT TRUDEAU INTL								200313	CYHZ	CYUL
CZ00020	CZ	H	HALIFAX INTL	MONTREAL INTL MIRABEL								200302	CYHZ	CYMX
CZ00021	CZ	H	HALIFAX INTL	MONTREAL/ST HUBERT								200302	CYHZ	CYHU
CZ00022	CZ	H	HALIFAX INTL	TORONTO								200210	CYHZ	
CZ00023	CZ	H	HAMILTON	PIERRE ELLIOTT TRUDEAU INTL	N							200313	CYHM	CYUL
CZ00024	CZ	H	HAMILTON	PIERRE ELLIOTT TRUDEAU INTL	J		FL500	3100				200313	CYHM	CYUL
CZ00025	CZ	H	HAMILTON	MONTREAL INTL MIRABEL	N		FL500	3100				200302	CYHM	CYMX
CZ00026	CZ	H	HAMILTON	MONTREAL INTL MIRABEL	J		FL500	3100				200302	CYHM	CYMX
