SUAS_IDENT	SECTOR	ICAO	CTRY_1	CTRY_2	CTRY_3	CTRY_4	CYCLE_DATE
(AYR908)		AYPY	PP				199511
(DIP14)		DIII	IV				200508
(EB)TRA N A		EBBU	BE				200510
(EB)TRA N B		EBBU	BE				200508
(EB)TRA S A		EBBU	BE				200508
(EB)TRA S B		EBBU	BE				200508
(EB)TRA W A		EBBU	BE				200508
(EB)TRA W B		EBBU	BE				200508
(EB)TRA W C		EBBU	BE				200508
(EB)TRA W D		EBBU	BE				199511
(EB)TRA11		EBBU	BE				200007
(EB)TRA14		EBEB	BE				199511
(EB)TRA17		EBSZ	BE				200007
(EB)TRA22		EBEB	BE				199511
(EB)TRA23		EBSZ	BE				200007
(EB)TSA13A		EBEB	BE				200505
(EB)TSA13B		EBEB	BE				200404
(EB)TSA15		EBBU	BE				200007
(EB)TSA24		EBEB	BE				200007
(EB)TSA25		EBEB	BE				200510
(EB)TSA26A		EBEB	BE				200510
(EB)TSA26B		EBEB	BE				200506
(EB)TSA27		EBEB	BE				200007
(EB)TSA28A		EBEB	BE				200007
(EB)TSA28B		EBEB	BE				200508
(EB)TSA29A		EBEB	BE				200508
(EB)TSA29B		EBBU	BE				200508
(EB)TSA29C		EBBU	BE				200601
(ED TRA 1)		EDBB	GM				199511
(EH)TRA01		EHMC	NL				199511
(EH)TRA01A		EHMC	NL				199511
(EH)TRA02		EHMC	NL				199511
(EH)TRA02A		EHMC	NL				199511
(EH)TRA03		EHMC	NL				199511
(EH)TRA03A		EHMC	NL				199511
(EH)TRA04		EHMC	NL				199511
(EH)TRA04A		EHMC	NL				199511
(EH)TRA05		EHMC	NL				199511
(EH)TRA05A		EHMC	NL				199511
(EH)TRA06		EHMC	NL				199511
(EH)TRA06A		EHMC	NL				199511
(EH)TRA07		EHMC	NL				199511
(EH)TRA07A		EHMC	NL				199511
(EH)TRA08		EHMC	NL				199511
(EH)TRA08A		EHMC	NL				199511
(EH)TRA09		EHMC	NL				200401
(EKTRA)JY1		EKDK	DA				200401
(EKTRA)JY2		EKDK	DA				200107
(EKTRA)KGT1		EKDK	DA				200108
(EKTRA)KGT2		EKDK	DA				200107
(EKTRA)LAN		EKDK	DA				200107
(EKTRA)NS1		EKDK	DA				200107
(EKTRA)NS2		EKDK	DA				200107
(EKTRA)NS3		EKDK	DA				200107
(EKTRA)NS4		EKDK	DA				200107
(EKTRA)NS5		EKDK	DA				200107
(EKTRA)NS6		EKDK	DA				200107
(EKTRA)NS7		EKDK	DA				200107
(EKTRA)NS8		EKDK	DA				200107
(EKTRA)VE1		EKDK	DA				200107
(EKTRA)VE2		EKDK	DA				200107
(EKTRAAL1)		EKYT	DA				200107
(EKTRACDFA)		EKDK	DA				200107
(EKTRACDSI)		EKDK	DA				200107
(EKTRACDVE)		EKDK	DA				200107
(EKTRAKA1)		EKKA	DA				200107
(EKTRASP1)		EKSP	DA				200503
(EKTSASI)		EKDK	DA				200301
(EN)AMCD B3A		ENBD	NO				200301
(EN)AMCD B4A		ENBD	NO				200301
(EN)AMCD B4C		ENBD	NO				200301
(EN)AMCD B4D		ENBD	NO				200301
(EN)AMCD B6A		ENBD	NO				200301
(EN)AMCD B6B		ENBD	NO				200305
(EN)AMCD O5A		ENOS	NO				200305
(EN)AMCD O5B		ENOS	NO				200301
(EN)AMCD T1A		ENBD	NO				200301
(EN)AMCD T1B		ENBD	NO				200301
(EN)AMCD T1C		ENBD	NO				200301
(EN)AMCD T1D		ENBD	NO				199511
(ESP)S04		ESOS	SW				199511
(ESP)S05		ESOS	SW				199703
(FBD11)		FBSK	BC				199703
(FBD14)		FBFT	BC				200013
(FBD15)		FBMN	BC				199511
(FQ)D23		FQBE	MZ				199511
(FQ)D25		FQBE	MZ				199511
(FQ)P22		FQBE	MZ				199511
(FQ)P24		FQBE	MZ				199511
(FQ)R10		FQBE	MZ				199511
(FQ)R11		FQBE	MZ				199511
(FQ)R12		FQBE	MZ				199511
(FQ)R13		FQBE	MZ				199511
(FQ)R14		FQBE	MZ				199511
(FQ)R15		FQBE	MZ				199511
(FQ)R16		FQBE	MZ				199511
(FQ)R17		FQBE	MZ				199511
(FQ)R18		FQBE	MZ				199511
(FQ)R19		FQBE	MZ				199511
(FQ)R2		FQBE	MZ				199511
(FQ)R20		FQBE	MZ				199511
(FQ)R21		FQBE	MZ				199511
(FQ)R27		FQBE	MZ				199511
(FQ)R28		FQBE	MZ				199511
(FQ)R29		FQBE	MZ				199511
(FQ)R3		FQBE	MZ				199511
(FQ)R30		FQBE	MZ				199511
(FQ)R31		FQBE	MZ				199612
(FQ)R32		FQBE	MZ				199612
(FQ)R33		FQBE	MZ				199511
(FQ)R4		FQBE	MZ				199511
(FQ)R5		FQBE	MZ				199511
(FQ)R6		FQBE	MZ				199511
(FQ)R9		FQBE	MZ				200004
(FSR11)		FSFS	SE				200004
(FSR12)		FSFS	SE				200004
(FSR13)		FSFS	SE				200004
(FSR14)		FSFS	SE				199608
(GF)D1		GFLL	SL				199608
(GOP31)		GOOY	SG				200509
(HER28)		HECC	EG				200103
(LDD36)		LDZO	HR				200306
(LDM01)		LD	HR				200306
(LDM02)		LD	HR				200306
(LDM03)		LD	HR				200306
(LDM04)		LD	HR				200410
(LDM05)		LD	HR				200104
(LDR46)		LDZO	HR				200104
(LDR56)		LDZO	HR				200104
(LDT10)		LDZO	HR				200104
(LDT20)		LDZO	HR				200104
(LDT30)		LDZO	HR				200104
(LDT40)		LDZO	HR				199901
(LFD)M504		LFEE	FR				200511
(LFD6)		LFBB	FR				200207
(LFD601)		LFFF	FR				200207
(LFD602)		LFFF	FR				200207
(LFD603)		LFEE	FR				200207
(LFD604)		LFEE	FR				200207
(LFD605)		LFFF	FR				200207
(LFD606)		LFEE	FR				200207
(LFD607)		LFEE	FR				200207
(LFD608)		LFEE	FR				199511
(LFP)M1(A)		LFEE	FR				199511
(LFP)M1(B)		LFEE	FR				199511
(LFP)M1(C)		LFEE	FR				199511
(LFP)M10		LFFF	FR				199511
(LFP)M12		LFRR	FR				199511
(LFP)M13		LFFF	FR				199511
(LFP)M15		LFRR	FR				199511
(LFP)M18		LFRR	FR				199511
(LFP)M2		LFRR	FR				200401
(LFP)M20		LFMM	FR				199511
(LFP)M21		LFFF	FR				199511
(LFP)M23		LFMM	FR				199511
(LFP)M25		LFRR	FR				199511
(LFP)M30		LFFF	FR				199511
(LFP)M32		LFFF	FR				199813
(LFP)M38		LFFF	FR				199511
(LFP)M39		LFBB	FR				199511
(LFP)M40		LFBB	FR				199511
(LFP)M41		LFMM	FR				199511
(LFP)M42		LFBB	FR				199511
(LFP)M43		LFFF	FR				199511
(LFP)M44		LFRR	FR				199511
(LFP)M46		LFRR	FR				199511
(LFP)M47		LFRR	FR				199511
(LFP)M48		LFRR	FR				199511
(LFP)M49		LFRR	FR				199511
(LFP)M5		LFEE	FR				199511
(LFP)M50		LFMM	FR				199511
(LFP)M51		LF	FR				199511
(LFP)M52		LF	FR				199511
(LFP)M53		LF	FR				199511
(LFP)M54		LF	FR				199511
(LFP)M55		LF	FR				199511
(LFP)M56		LF	FR				199511
(LFP)M57		LF	FR				199511
(LFP)M58		LF	FR				199511
(LFP)M59		LF	FR				199511
(LFP)M6		LFFF	FR				199511
(LFP)M60		LF	FR				199511
(LFP)M61		LF	FR				199511
(LFP)M62		LFEE	FR				199511
(LFP)M64		LF	FR				199511
(LFP)M65		LF	FR				199511
(LFP)M66		LF	FR				199511
(LFP)M7		LFFF	FR				199511
(LFP)M76		LF	FR				199511
(LFP)M78		LF	FR				199511
(LFP)M79		LF	FR				199511
(LFP)M80B		LF	FR				199511
(LFP)M80C		LF	FR				199511
(LFP)M81		LF	FR				199511
(LFP)M82		LF	FR				199511
(LFP)M83		LF	FR				199511
(LFP)M84		LF	FR				199511
(LFP)M85		LF	FR				199511
(LFP)M86		LF	FR				199511
(LFP)M87		LF	FR				199605
(LFP)M88		LFFF	FR				199811
(LFP)M89		LFMM	FR				199511
(LFP)M9		LFMM	FR				199901
(LFP)M90		LFFF	FR				200210
(LFP)M91		LFFF	FR				200210
(LFP)M92		LFFF	FR				200506
(LFP)M93		LFFF	FR				200405
(LFP300)		LFEN	FR				200406
(LFP301)		LFFF	FR				200406
(LFP302)		LFPI	FR				200406
(LFP303)		LFMM	FR				200406
(LFP304)		LFNF	FR				200406
(LFP305)		LFMM	FR				200406
(LFP306)		LFBB	FR				200406
(LFP307)		LFOH	FR				200406
(LFP308)		LFRZ	FR				200406
(LFP309)		LFHJ	FR				200406
(LFP310)		LFHH	FR				200406
(LFP311)		LFBB	FR				200406
(LFP312)		LFFF	FR				200406
(LFP313)		LFBB	FR				200406
(LFP314)		LFFF	FR				200406
(LFP315)		LFMM	FR				200406
(LFP316)		LFGV	FR				200406
(LFP317)		LFFF	FR				200406
(LFP318)		LFFF	FR				200406
(LFP319)		LFBB	FR				200406
(LFP320)		LFLQ	FR				200406
(LFP321)		LFFF	FR				200406
(LFP322)		LFEE	FR				200406
(LFP323)		LFBB	FR				200406
(LFP324)		LFFF	FR				200406
(LFP325)		LFLG	FR				200406
(LFP326)		LFFF	FR				200406
(LFP327)		LFHI	FR				200406
(LFP328)		LFNE	FR				200406
(LFP329)		LFFF	FR				200406
(LFP330)		LFFF	FR				200406
(LFP331)		LFOS	FR				200406
(LFP332)		LFAB	FR				200406
(LFP333)		LFND	FR				200406
(LFP334)		LFEE	FR				200408
(LFP335)		LFRR	FR				200505
(LFP336)		LFRR	FR				200408
(LFR201)		LFMM	FR				200508
(LFR202)		LFTZ	FR				200312
(LFR203)		LFEE	FR				200312
(LFR204)		LFEE	FR				200403
(LFR205)		LFMM	FR				200602
(LFR207)		LFBZ	FR				200601
(LFR208)		LFML	FR				200411
(LFR209)		LFOT	FR				200411
(LFR210)		LFOT	FR				200513
(LFR211)		LFRM	FR				200506
(LFR220)		LF	FR				199511
(LH)TSA10		LHCC	HU				199511
(LH)TSA11		LHCC	HU				199511
(LH)TSA12		LHCC	HU				199511
(LH)TSA13		LHCC	HU				199511
(LH)TSA14		LHCC	HU				199707
(LH)TSA15		LHCC	HU				199511
(LH)TSA16		LHCC	HU				200404
(LH)TSA20		LHCC	HU				199511
(LH)TSA50		LHCC	HU				200507
(LH)TSA51A		LHCC	HU				200507
(LH)TSA51B		LHCC	HU				200507
(LH)TSA51C		LHCC	HU				199511
(LH)TSA52		LHCC	HU				199511
(LH)TSA53		LHCC	HU				199511
(LH)TSA54		LHCC	HU				200507
(LH)TSA55A		LHCC	HU				200507
(LH)TSA55B		LHCC	HU				199511
(LH)TSA56		LHCC	HU				200507
(LH)TSA57A		LHCC	HU				200507
(LH)TSA57B		LHCC	HU				200507
(LH)TSA57C		LHCC	HU				199511
(LH)TSA58L		LHCC	HU				199511
(LH)TSA58U		LHCC	HU				199707
(LH)TSA59		LHCC	HU				199511
(LH)TSA60		LHCC	HU				199511
