SUAS_IDENT	SECTOR	NOTE_TYPE	NOTE_NBR	REMARKS	CYCLE_DATE
(EB)TRA N A		GENERAL	1	Activation may be checked preflight with ATCC Semmerzake (Tel: ++32 (9) 389 25 55) or Brussels FIC. Crossing clearance shall be requested in-flight with ATCC Semmerzake.	200508
(EB)TRA N B		CONTROLLING AGENCY	1	Activation may be checked preflight with ATCC Semmerzake (Tel: ++32 (9) 389 25 55) or Brussels FIC. Crossing clearance shall be requested in-flight with ATCC Semmerzake.	200508
(EB)TRA S A		CONTROLLING AGENCY	1	Activation may be checked preflight with ATCC Semmerzake (Tel: ++32 (9) 389 25 55) or Brussels FIC. Crossing clearance shall be requested in-flight with ATCC Semmerzake.	200508
(EB)TRA S B		CONTROLLING AGENCY	1	Activation may be checked preflight with ATCC Semmerzake (Tel: ++32 (9) 389 25 55) or Brussels FIC. Crossing clearance shall be requested in-flight with ATCC Semmerzake.	200508
(EB)TRA W A		CONTROLLING AGENCY	1	Activation may be checked preflight with ATCC Semmerzake (Tel: ++32 (9) 389 25 55) or Brussels FIC. Crossing clearance shall be requested in-flight with ATCC Semmerzake.	200508
(EB)TRA W B		CONTROLLING AGENCY	1	Activation may be checked preflight with ATCC Semmerzake (Tel: ++32 (9) 389 25 55) or Brussels FIC. Crossing clearance shall be requested in-flight with ATCC Semmerzake.	200508
(EB)TRA W C		CONTROLLING AGENCY	1	Activation may be checked preflight with ATCC Semmerzake (Tel: ++32 (9) 389 25 55) or Brussels FIC. Crossing clearance shall be requested in-flight with ATCC Semmerzake.	200508
(EB)TRA W D		CONTROLLING AGENCY	1	Activation may be checked preflight with ATCC Semmerzake (Tel: ++32 (9) 389 25 55) or Brussels FIC. Crossing clearance shall be requested in-flight with ATCC Semmerzake.	200508
(EB)TRA11		EFFECTIVE TIMES	1	Proh to all mil acft when act.	199911
(EB)TRA17		EFFECTIVE TIMES	1	Act during IFR apch(Rwy 09) at Geilenkirchen.	200011
(EB)TRA17		CONTROLLING AGENCY	1	Cros clnc, obtain fr EHBK APP.	200208
(EB)TRA22		GENERAL	1	Air exercises and flights of UAV's, prohibited to all non-participating militaryaircraft during periods activity.	200506
(EB)TSA13A		GENERAL	1	During UAV activities, prohibilted to all manned Mil and Civ acft. During air exercises, prohibited to all non-participating acft.	200312
(EB)TSA13B		GENERAL	1	During UAV activities, prohibilted to all manned Mil and Civ acft. During air exercises, prohibited to all non-participating acft.	200508
(EB)TSA15		GENERAL	1	Prohibited to all manned aircraft during periods of activity for pilotless aircraft.	200402
(EB)TSA15		EFFECTIVE TIMES	1	During UAV activities, prohibilted to all manned Mil and Civ acft. ACT may be checked preflight with ATCC Semmerzake (TEL: ++32 (0)9 389 25 55).  Activated whenTRA West is active.	200508
(EB)TSA24		CONTROLLING AGENCY	1	ACT may be checked with Brussels ACC/FIC. Maastricht UAC or ATCC Semmerzake.	200508
(EB)TSA25		CONTROLLING AGENCY	1	ACT may be checked with Brussels ACC/FIC. Maastricht UAC or ATCC Semmerzake.	200508
(EB)TSA26A		CONTROLLING AGENCY	1	ACT may be checked with Brussels ACC/FIC. Maastricht UAC or ATCC Semmerzake.	200508
(EB)TSA27		CONTROLLING AGENCY	1	During UAV activities, prohibited to all manned MIL and CIV ACFT. During air exercises, prohibited to non-participating ACFT. ACT may be checked preflight withATCC Semmerzake (TEL: +32(9) 389 25 55). This airspace will only be ACT when TRA	200508
(EB)TSA28A		GENERAL	1	Gunnery, UAV and air exercise area. During UAV activities, prohibited to all manned MIL and CIV ACFT. During air excercises, prohibited to non-participating ACFT.  Prohibited during gunnery activities. This airspace will be activated togeth	200508
(EB)TSA28A		EFFECTIVE TIMES	1	ACT announced by Notam	200203
(EB)TSA28A		EFFECTIVE ALTITUDE	1	Highest usable FL90.	200508
(EB)TSA28B		GENERAL	1	Gunnery, UAV and air exercise area. During UAV activities, prohibited to all manned MIL and CIV ACFT. During air excercises, prohibited to non-participating ACFT.  Prohibited during gunnery activities. This airspace will be activated togeth	200508
(EB)TSA28B		EFFECTIVE TIMES	1	ACT announced by Notam	200203
(EB)TSA28B		EFFECTIVE ALTITUDE	1	Highest usable FL90.	200508
(EB)TSA29B		GENERAL	1	TLP CSAR excercises.	200508
(EB)TSA29B		EFFECTIVE ALTITUDE	1	On request of the CIV authorities the upper limit can be lowered to FL75.	200508
(EB)TSA29C		GENERAL	1	TLP CSAR exercises.	200508
(EB)TSA29C		EFFECTIVE ALTITUDE	1	On request of the CIV authorities the upper limit can be lowered to FL65.	200508
(ED TRA 1)		EFFECTIVE TIMES	1	Mon-Fri 0700-2230Z++ excld GM hol. Fri not eff after 1330Z++.	200601
(EKTRACDVE)		EFFECTIVE TIMES	1	Mon-Thu 0800-1000Z++ and 1200-1400Z++; Fri 0800-1000Z++.	200107
(FQ)D25		EFFECTIVE TIMES	1	When act, trfc will be rte to the N.	199911
(LFP)M30		EFFECTIVE ALTITUDE	1	900' AGL for convl and 3000' AGL for jet acft.	200009
(LFP)M62		EFFECTIVE ALTITUDE	1	900' AGL for convl and 3000' AGL for jet acft exc ACFT nav in R45.	200009
(LH)TSA15		GENERAL	1	TLv btn TSA-15 and TSA-16 FL210 or abv FL370.	200511
(LH)TSA16		GENERAL	1	TLv btn TSA-15 and TSA-16 FL210 or abv FL370.	200511
(LH)TSA51B		GENERAL	1	Min use alt in TSA51B 6000'; max use alt blw TSA51B 5000'.	200511
(LH)TSA51C		GENERAL	1	Min use alt in TSA51C 6000'; max use alt blw TSA51C 5000'.	200511
(LH)TSA52		GENERAL	1	Min use alt in TSA52 5000'; max use alt blw TSA52 4000'.	200511
(LH)TSA53		GENERAL	1	Min use alt in TSA53 5000'; max use alt blw TSA53 4000'.	200511
(LH)TSA60		GENERAL	1	Max use alt TSA-60 6000'AMSL; min use alt abv TSA-60 7000'AMSL.	200511
(LH)TSA61		GENERAL	1	CAUTION: If TSA-60 not act, acft in TSA-61 outside LHSN Mil TMA, min use alt 8000'AMSL, other acft opr blw area max alt 7000'AMSL.	200511
(LH)TSA62		GENERAL	1	CAUTION: If TSA-60 not act, acft in TSA-62 outside LHSN Mil TMA, min use alt 8000'AMSL, other acft opr blw area max alt 7000'AMSL.	200511
(LID113)		GENERAL	1	Special area for NATO Operations. Aircraft operating within the area must stay within 5 NM by the area border.	200603
(LID113)		EFFECTIVE TIMES	1	5000' - FL250 Mon 0001Z - Fri 1500Z, 5000' - FL280 Mon-Fri 0730-1030Z (0600-0900Z sum) Mon-Thu 1700-2000Z(1800-2100Z sum).	200313
(LID113)		EFFECTIVE ALTITUDE	1	5000' - FL250 Mon 0001Z - Fri 1500Z, 5000' - FL280 Mon-Fri 0730-1030Z (0600-0900Z sum) Mon-Thu 1700-2000Z(1800-2100Z sum).	200313
(LID114)		GENERAL	1	Special area for NATO Operations.	200107
(LID115)		GENERAL	1	Special area for NATO Operations.	200107
(LID115)		EFFECTIVE TIMES	1	Fri  0500-1400Z++ TO FL270.	200202
(LID115)		EFFECTIVE ALTITUDE	1	Fri  0500-1400Z++ TO FL270.	200202
(LID116)		GENERAL	1	Special area for NATO Operations.	200107
(LIP9G)		GENERAL	1	Military UAV activity only.	200508
(LIP9O)		GENERAL	1	Military UAV activity only.	200508
(LIP9S)		GENERAL	1	Military UAV activity only.	200508
(LIR117)		GENERAL	1	Different hours and period by NOTAM. Aeroclub aircraft from Varese and Aero Centro Varesino only. If MAL VOR/DME inop or Rwy 17 in use at LIMC, activity shall be suspended.	200408
(LITRA2)		EFFECTIVE TIMES	1	Act upon drct coord btn the ctl ATC and users.	199911
(LITRA5)		EFFECTIVE TIMES	1	Act upon drct coord btn ctl ATC and mil users.	200109
(LITRA5S)		EFFECTIVE TIMES	1	Act upon coord btn ctl ATC  and mil authorities. Special area for NATO Operations.	200109
(LITRA6)		EFFECTIVE TIMES	1	Act upon drct coord btn ctl ATC and mil users.	200109
(LITRA9)		EFFECTIVE TIMES	1	Act upon drct coord btn ctl ATC and mil users.	200109
(LP)TRA13		GENERAL	1	This area cannot be activated simultaneously with (LP)TRA58A,B,C,D.	200409
(LP)TRA4		EFFECTIVE TIMES	1	By Lisboa ACC.	199911
(LP)TRA58A		GENERAL	1	This area cannot be activated simultaneously with (LP)TRA13, (LP)TRA58B or (LP)TRA58C.	200412
(LP)TRA58B		GENERAL	1	This area cannot be activated simultaneously with (LP)TRA13, (LP)TRA58A or (LP)TRA58D.	200412
