SUAS_IDENT	SECTOR	TYPE	NAME	ICAO	CON_AGCY	LOC_HDATUM	WGS_DATUM	COMM_NAME	FREQ1	FREQ2	LEVEL	UPPER_ALT	LOWER_ALT	EFF_TIMES	WX	CYCLE_DATE	EFF_DATE
(AYR908)		R	HIDES GASFIELDS	AYPY	OIL SEARCH LTD	AUA	WGE	OIL SEARCH LTD	134.5   M	9025    M	L	009500AMSL	SURFACE	CONT	VMC-IMC	200410	08 Oct 98
(DIP14)		P	PROHIBITED BORDER	DIII	DAKAR ACC	WGE	WGE	ABIDJAN TWR	118.1   M		L	016000AGL	SURFACE	CONT	VMC-IMC	200108	18 Jul 96
(EB)TRA N A		T	NORTH ALPHA	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL195	04500AMSL	BY NOTAM	VMC-IMC	200508	10 Apr 86
(EB)TRA N B		T	NORTH BRAVO	EBBU	SEMMERZAKE ATCC	WGE	WGE				H	UNLTD	FL195	BY NOTAM	VMC-IMC	200508	10 Apr 86
(EB)TRA S A		T	SOUTH ALPHA	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL195	04500AMSL	BY NOTAM	VMC-IMC	200508	10 Apr 86
(EB)TRA S B		T	SOUTH BRAVO	EBBU	SEMMERZAKE ATCC	WGE	WGE				H	UNLTD	FL195	BY NOTAM	VMC-IMC	200508	10 Apr 86
(EB)TRA W A		T	WEST ALPHA	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL195	04500AMSL	BY NOTAM	VMC-IMC	200508	10 Apr 86
(EB)TRA W B		T	WEST BRAVO	EBBU	SEMMERZAKE ATCC	WGE	WGE				H	UNLTD	FL195	BY NOTAM	VMC-IMC	200508	10 Apr 86
(EB)TRA W C		T	WEST CHARLIE	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL115	04500AMSL	BY NOTAM	VMC-IMC	200508	10 Apr 86
(EB)TRA W D		T	WEST DELTA	EBBU	SEMMERZAKE ATCC	WGE	WGE				H	UNLTD	FL195	BY NOTAM	VMC-IMC	200508	10 Apr 86
(EB)TRA11		T	URSEL	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	004500AGL	GND	BY NOTAM	VMC-IMC	200504	10 Apr 86
(EB)TRA14		T	KOKSIJDE	EBEB	SEMMERZAKE ATCC	WGE	WGE				L	FL245	02500AMSL	BY NOTAM	VMC-IMC	200203	13 Jul 00
(EB)TRA17		T	AWACS	EBSZ	BRUSSELS FIC	WGE	WGE				L	003500AMSL	01500AMSL	ACT DURING AWACS IFR APP ON RWY 09	VMC-IMC	200206	29 Jan 98
(EB)TRA22		T	BERTRIX-JEHONVILLE	EBEB		WGE	WGE				L	004500AMSL	GND	BY NOTAM	VMC-IMC	200201	13 Jul 00
(EB)TRA23		T	TIENEN	EBSZ	SEMMERZAKE ATCC	WGE	WGE				L	FL90	04500AMSL	CONT SR-SS	VMC-IMC	200201	02 Dec 99
(EB)TSA13A		T	CHANNEL A	EBEB	SEMMERZAKE ATCC	WGE	WGE				L	FL105	02500AMSL	BY NOTAM	VMC-IMC	200508	13 Jul 00
(EB)TSA13B		T	CHANNEL B	EBEB	SEMMERZAKE ATCC	WGE	WGE				L	FL105	04500AMSL	BY NOTAM	VMC-IMC	200508	13 Jul 00
(EB)TSA15		T	LO-RENINGE UAV AREA	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL95	04500AMSL	BY NOTAM	VMC-IMC	200508	25 Dec 03
(EB)TSA24		T	ARDENNES 02	EBEB	BRUSSELS ACC/FIC	WGE	WGE				B	UNLTD	FL95	MON-FRI, 0600- 2200Z++, EXC HOL.	VMC-IMC	200508	13 Jul 00
(EB)TSA25		T	ARDENNES 03	EBEB	BRUSSELS ACC/FIC	WGE	WGE				B	UNLTD	FL95	MON-FRI 0600-2200Z++ EXC HOL.	VMC-IMC	200508	13 Jul 00
(EB)TSA26A		T	ARDENNES 01	EBEB	BRUSSELS ACC/FIC	WGE	WGE				B	UNLTD	FL95	MON-FRI, 0600- 2200Z++, EXC HOL.	VMC-IMC	200508	13 Jul 00
(EB)TSA26B		T	ARDENNES 04	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL95	04500AMSL	MON-FRI, 0600- 2200Z++, EXC HOL.	VMC-IMC	200508	13 Jul 00
