ARPT_IDENT	PROC	TRM_IDENT	ICAO	ES_ALT	JULIAN_DATE	AMDT_NO	OPR	HOST_CTRY_AUTH	CYCLE_DATE	ALT_MIN	TRAN_ALT	TRAN_LVL	RTE_TYPE_QUAL
AA30079	3	D11    VORDME RW11	TNCA		2005188		USN	DCA	200507	T	2500		
AA30079	3	D29    VORDME RW29	TNCA		2005188		USN	DCA	200507	T	2500		
AA30079	3	I11    ILSDME RW11	TNCA		2003359		USN	DCA	200313	T	2500		
AC44813	3	D07    VORDME RW07	TAPA		2005132		USAF	ADCA	200505	T	2500	4000	
AC44813	3	D25    VORDME RW25	TAPA		2003303	5	USAF	ADCA	200311	T	2500	4000	
AE19613	3	D13    VORDME RW13	OMAA		2005104		USN	AE	200504	T	13000	15000	
AE19613	3	D31    VORDME RW31	OMAA		2005104		USN	AE	200504	T	13000	15000	
AE19613	3	I13    VORDME/ILS RW13	OMAA		2005104		USN	AE	200504	T	13000	15000	
AE19613	3	I31    VORDME/ILS RW31	OMAA		2005104		USN	AE	200504	T	13000	15000	
AE52272	3	D12L   RNAV/VORDME RW12L	OMDB		2005272		USN	AE	200510	T	13000	15000	
AE52272	3	D12R   RNAV/VORDME RW12R	OMDB		2005272		USN	AE	200510	T	13000	15000	
AE52272	3	D30L   RNAV/VORDME RW30L	OMDB		2005272		USN	AE	200510	T	13000	15000	
AE52272	3	D30R   RNAV/VORDME RW30R	OMDB		2005272		USN	AE	200510	T	13000	15000	
AE52272	3	I30L   RNAV/ILS RW30L	OMDB		2005244		USN	AE	200509	T	13000	15000	
AE56787	3	D29AB  VORDME RW29(CATAB)	OMFJ		2005104		USN	AE	200509	T	13000		
AE56787	3	D29CD  VORDME RW29(CATCD)	OMFJ		2005104		USN	AE	200509	T	13000		
AE56787	3	I29AB  VORDMEILS RW29(CATAB)	OMFJ		2005104		USN	AE	200509	T	13000		
AE56787	3	I29CD  VORDMEILS RW29(CATCD)	OMFJ		2005104		USN	AE	200509	T	13000		
AF50693	2	BGM1   BAGRAM 1	OAIX	22600	2005244	1	USAF		200509	T	14000	16000	
AF50693	2	HERKY1 HERKYI(RW03)	OAIX	22600	2005132		USAF		200505	T	14000	16000	
AF50693	2	MIRAB1 MIRAB 1 (RNAV)	OAIX	22600	2005300		USAF		200511	T	14000	16000	
AF50693	3	G03    RNAV (GPS) RW03	OAIX		2005300	1	USAF		200511	T	14000	16000	
AF50693	3	T03-H  HI TACAN RW03	OAIX	22600	2005356	3	USAF		200513	T	14000	16000	
AF60849	2	DIRT   (GATOR 1)	OAKN		2005300	3	USAF		200511	TANA	14000	16000	
AF60849	2	HIWY2  (GATOR 1)	OAKN		2005300	3	USAF		200511	TANA	14000	16000	
AF60849	2	PRKWY  (GATOR 1)	OAKN		2005300	3	USAF		200511	TANA	14000	16000	
AF60849	3	G05    RNAV (GPS) RW05	OAKN		2006047		USAF		200602	TANA	14000	16000	J
AF60849	3	T05-H  HI TACAN RW05	OAKN	15600	2006047		USAF		200602	TANA	14000	16000	
AF94313	2	KABUL1	OAKB	21700	2005300		USAF		200511	T	14000	16000	
AF94313	3	D29    VOR/DME RW29	OAKB	21700	2006047		USAF		200602	T	14000	16000	
AJ41498	1	RW16	UBBB		2005300		USAF	AJ	200511	T			
AJ41498	1	RW34	UBBB		2005300		USAF	AJ	200511	T			
AJ41498	2	RW18	UBBB		2005300	3	USAF	AJ	200511	T	2000		
AJ41498	2	RW34-1	UBBB		2005300	5	USAF	AJ	200511	T	2000		
AL00001	3	D18    VOR/DME RW18	LATI	11900	2005132		USA	AL	200505	T	9000		
AL00001	3	D36    VOR/DME RW36	LATI	11900	2005132		USA	AL	200505	T	9000		
AL00001	3	N18-1  CAT B NDB TR S RW18	LATI	11900	2005104		USA	AL	200505	T	9000		
AL00001	3	N18-3  CAT C NDB TR P RW18	LATI	11000	2005104		USA	AL	200505	T	9000		
AM65746	2	RW09	UDYZ		2005188	2	USAF		200507	T	6500		
AM65746	2	RW27	UDYZ		2005188	2	USAF		200507	T	6500		
AQ90020	3	EVORA  VORDME-A	NSTU		2005300	3	FAA		200511	TA			
AQ90020	3	EVORB  VORDME-B	NSTU		2005300	5	FAA		200511	TA			
AQ90020	3	EVORD  VOR-D	NSTU		2005300	5	FAA		200511	TA			
AQ90020	3	FNDBC  NDB-C	NSTU		2005300	6	FAA		200511	TA			
AQ90020	3	I05    ILS/DME RW05	NSTU		2005300	13	FAA		200511	TA			
AQ90020	3	TTACA  TACAN-A	NSTU		2005300	3	FAA		200511	TA			
AQ90020	3	TTACB  TACAN-B	NSTU		2005300	5	FAA		200511	TA			
