HELI_IDENT	HELI_NAME	CTRY	STATE_PROV	ICAO	FAA_HOST_ID	WGS_DATUM	WGS_LAT	RP_WGS_DLAT	WGS_LONG	RP_WGS_DLONG	ELEV	MAG_VAR	CITY_CROSS_REF	LOC_HDATUM	CYCLE_DATE
GM00005	ANSBACH AHP	GM		ETEB	N	WGE	N49182959	49.308219	E010381938	10.638717	01532	E001230 0106		WGE	200205
GM00007	BABENHAUSEN AHP	GM		ETEF	N	WGE	N49571700	49.954723	E008581800	8.971666	00430	E000537 0106		WGE	200204
GM00012	BAMBERG AAF	GM		ETEJ	N	WGE	N49551356	49.920433	E010545124	10.914233	00823	E001272 0106		WGE	200204
GM00018	HOHENFELS AAF	GM		ETIH	N	WGE	N49130500	49.218056	E011501000	11.836111	01455	E001426 0106		WGE	200204
GM00019	ILLESHEIM AHP	GM		ETIK	N	WGE	N49282574	49.473817	E010231619	10.387831	01078	E001187 0106		WGE	200204
GM00085	ROTH	GM		ETHR	N	WGE	N49130300	49.217500	E011060060	11.100167	01268	E001307 0106		WGE	200205
GM00357	VILSECK MAIN AHP	GM		ET	ET42	WGE	N49385790	49.649417	E011482064	11.805733	01370	E001421 0106		WGE	200204
GM01853	FRANKFURT MAIN	GM		EDDF	N	WGE	N50013512	50.026421	E008323525	8.543125	00364	E000459 0106		WGE	200204
GM02973	HANAU AAF	GM		ETID	N	WGE	N50100908	50.169189	E008574171	8.961586	00368	E000530 0106		WGE	200204
GM03600	TEMPELHOF	GM		EDDI	N	WGE	N52282289	52.473025	E013241420	13.403944	00167	E002111 0106	Berlin	WGE	200204
GM10062	NIEDERSTETTEN	GM		ETHN	N	WGE	N49233060	49.391833	E009572940	9.958167	01536	E001116 0106		WGE	200205
GM19072	LAUPHEIM	GM		ETHL	N	WGE	N48131307	48.220297	E009543607	9.910019	01766	E001122 0106		WGE	200209
GM21133	BAYREUTH	GM		EDQD	N	WGE	N49590394	49.984428	E011381885	11.638569	01601	E001393 0106		WGE	200208
GM23184	HOF PLAUEN	GM		EDQM	N	WGE	N50171981	50.288836	E011511771	11.854919	01960	E001428 0106		WGE	200204
GM23911	LECHFELD	GM		ETSL	N	WGE	N48110780	48.185500	E010514020	10.861167	01822	E001273 0106		WGE	200204
GM30895	RAMSTEIN AB	GM		ETAR	N	WGE	N49261288	49.436911	E007360102	7.600283	00782	E000307 0106	Landstuhl	WGE	200206
GM34171	KOLN BONN	GM		EDDK	N	WGE	N50515730	50.865917	E007083388	7.142744	00302	E000175 0106	Cologne	WGE	200204
GM36245	LANDSBERG LECH	GM		ETSA	N	WGE	N48041407	48.070575	E010542158	10.905994	02044	E001281 0106		WGE	200204
GM38712	KITZINGEN AAF	GM		ETIN	N	WGE	N49443501	49.743057	E010120200	10.200556	00689	E001153 0106		WGE	200204
GM40032	FRITZLAR	GM		ETHF	N	WGE	N51065220	51.114500	E009170900	9.285833	00566	E000568 0106		WGE	200204
GM43621	WIESBADEN AAF	GM		ETOU	N	WGE	N50025935	50.049819	E008193143	8.325397	00461	E000419 0106		WGE	200206
GM51777	SAARBRUCKEN	GM		EDDR	N	WGE	N49125239	49.214553	E007063423	7.109508	01058	E000226 0106		WGE	200206
GM51956	DUSSELDORF	GM		EDDL	N	WGE	N51172203	51.289453	E006460039	6.766775	00147	E000087 0106		WGE	200204
GM60209	BUCKEBURG	GM		ETHB	N	WGE	N52164260	52.278500	E009045580	9.082167	00230	E000503 0106		WGE	200208
GM61269	MUNCHEN	GM		EDDM	N	WGE	N48211362	48.353783	E011470991	11.786086	01487	E001417 0106		WGE	200205
GM61279	STUTTGART	GM		EDDS	N	WGE	N48412356	48.689878	E009131907	9.221964	01276	E001003 0106		WGE	200206
GM66879	HEIDELBERG AHP	GM		ETIE	N	WGE	N49233600	49.393333	E008390700	8.651944	00358	E000493 0106		WGE	200304
GM68553	GRAFENWOHR AAF	GM		ETIC	N	WGE	N49415527	49.698686	E011562463	11.940175	01363	E001443 0106		WGE	200204
GM70181	GUTERSLOH	GM		ETUO	N	WGE	N51552220	51.922833	E008182280	8.306333	00236	E000363 0106		WGE	200204
GM71150	GIEBELSTADT AAF	GM		ETEU	N	WGE	N49385327	49.648131	E009575938	9.966494	00980	E001114 0106	Wurzburg	WGE	200204
GM73322	COLEMAN AAF	GM		ETOR	N	WGE	N49334885	49.563569	E008274821	8.463392	00309	E000456 0106		WGE	200204
GM87318	NURNBERG	GM		EDDN	N	WGE	N49295512	49.498644	E011044118	11.078106	01046	E001302 0106		WGE	200205
GM90966	SPANGDAHLEM AB	GM		ETAD	N	WGE	N49582160	49.972667	E006413300	6.692500	01197	E000124 0106	Binsfeld	WGE	200206
GM97074	MENDIG	GM		ETHM	N	WGE	N50215760	50.366000	E007185520	7.315333	00597	E000226 0106		WGE	200204
GM99984	SCHWEINFURT AHP	GM		ETOA	N	WGE	N50025000	50.047222	E010101500	10.170834	00787	E001144 0106		WGE	200206
GM99986	LEIGHTON BKS AHP	GM		ETOY	N	WGE	N49472040	49.789000	E009583693	9.976925	00873	E001114 0106	Wurzburg	WGE	200205
GM99999	BUDINGEN AHP	GM		ETEP	N	WGE	N50170700	50.285278	E009052400	9.090000	00427	E000551 0106		WGE	200204
KS00012	C 281 HELIPORT	KS		RK	RK12	WGE	N37253594	37.426650	E127034246	127.061794	00520	W007463 0106		WGE	200205
KS04498	SOKCHO	KS		RKND	N	WGE	N38085100	38.147500	E128360200	128.600556	00092	W008083 0106		WGE	200302
KS13888	JEON JU	KS		RKJU	N	WGE	N35524237	35.878436	E127071038	127.119550	00096	W007181 0106	Chonju	WGE	200303
KS23347	SEOUL AB	KS		RKSM	N	WGE	N37264500	37.445833	E127065000	127.113889	00092	W007470 0106		WGE	200205
KS23937	A 511	KS		RKSG	N	WGE	N36573824	36.960622	E127020077	127.033547	00051	W007375 0106	Pyeongtaek	WGE	200204
KS29498	G 505	KS		RKUC	N	WGE	N36341759	36.571553	E127174338	127.295383	00082	W007319 0106		WGE	200303
KS51338	G 404	KS		RK	RK13	WGE	N38051507	38.087519	E127591185	127.986625	00655	W008040 0106		WGE	200302
KS51390	OSAN AB	KS		RKSO	N	WGE	N37052622	37.090617	E127014654	127.029594	00038	W007399 0106	Songtansi	WGE	200204
KS60058	PUSAN HELIPORT	KS		RKPP	N	WGE	N35101595	35.171097	E129074378	129.128828	00006	W007139 0106		WGE	200205
KS60404	G 217	KS		RKRO	N	WGE	N37515933	37.866481	E127102861	127.174614	00328	W007551 0106		WGE	200206
KS70967	G 510	KS		RKRN	N	WGE	N37114894	37.196928	E127282943	127.474842	00255	W007445 0106		WGE	200303
KS71169	G 113	KS		RKRS	N	WGE	N37360036	37.600100	E126521028	126.869522	00064	W007483 0106		WGE	200206
KS99729	G 413	KS		RK	RK21	WGE	N38225758	38.382661	E128272759	128.457664	00023	W008121 0106		WGE	200302
KS99731	H 112 HELIPORT	KS		RK	RK23	WGE	N37473743	37.793731	E126504492	126.845811	00077	W007517 0106		WGE	200204
KS99756	G 321	KS		RK	RK47	WGE	N38155500	38.265278	E127335098	127.564160	00900	W008049 0106		WGE	200302
KS99769	G 280	KS		RK	RK54	WGE	N37320303	37.534175	E127104665	127.179625	00130	W007490 0106		WGE	200205
KS99774	H 207 HELIPORT	KS		RKSX	N	WGE	N37430900	37.719166	E127055798	127.099440	00234	W007519 0106		WGE	200204
KS99775	H 401 HELIPORT	KS		RK	RK55	WGE	N37270809	37.452247	E127582090	127.972472	00340	W007520 0106		WGE	200205
KS99779	H 805 HELIPORT	KS		RK	RK57	WGE	N35502791	35.841086	E128353120	128.592000	00246	W007246 0106		WGE	200205
KS99794	H 264 HELIPORT	KS		RKSY	N	WGE	N37311752	37.521533	E126584306	126.978628	00040	W007475 0106		WGE	200204
KS99795	H 209 HELIPORT	KS		RK	RK61	WGE	N37450266	37.750739	E127014012	127.027811	00210	W007521 0106		WGE	200204
KS99796	H 220A HELIPORT	KS		RK	RK62	WGE	N37562285	37.939681	E127032613	127.057258	00249	W007557 0106		WGE	200204
KS99797	H 263 HELIPORT	KS		RK	RK63	WGE	N37542750	37.907639	E127045990	127.083306	00400	W007553 0106		WGE	200205
KS99799	C 415 HELIPORT	KS		RK	RK65	WGE	N37231661	37.387947	E127564198	127.944994	00325	W007507 0106		WGE	200205
KS99800	C 437 HELIPORT	KS		RK	RK66	WGE	N37200800	37.335556	E127590200	127.983889	00450	W007499 0106		WGE	200206
KS99801	C 431 HELIPORT	KS		RK	RK67	WGE	N37424200	37.711666	E128542398	128.906660	00050	W008014 0106		WGE	200206
KS99802	C 524 HELIPORT	KS		RK	RK68	WGE	N36180162	36.300450	E126313649	126.526803	00054	W007222 0106		WGE	200206
KS99803	C 620 HELIPORT	KS		RK	RK69	WGE	N36184781	36.313281	E127134172	127.228256	00467	W007267 0106		WGE	200209
KS99805	C 136 HELIPORT	KS		RK	RK71	WGE	N37453489	37.759692	E126475058	126.797383	00083	W007507 0106		WGE	200206
KS99806	C 258 HELIPORT	KS		RK	RK72	WGE	N37540001	37.900002	E126580001	126.966670	00300	W007544 0106		WGE	200206
KS99807	C 263 HELIPORT	KS		RK	RK73	WGE	N37545200	37.914444	E127004100	127.011389	00293	W007550 0106	BONGRAMRI	WGE	200206
KS99808	C 253 HELIPORT	KS		RK	RK74	WGE	N38004691	38.013031	E127194320	127.328667	00473	W007588 0106		WGE	200208
KS99809	C 254 HELIPORT	KS		RK	RK75	WGE	N38012386	38.023294	E127211083	127.353008	00607	W007591 0106		WGE	200208
KS99810	C 260 HELIPORT	KS		RK	RK76	WGE	N38075800	38.132778	E127144660	127.246278	00576	W008005 0106		WGE	200208
KS99811	C 331 HELIPORT	KS		RK	RK77	WGE	N37561863	37.938508	E127461139	127.769831	00300	W008000 0106		WGE	200208
KS99812	C 326 HELIPORT	KS		RK	RK78	WGE	N38080200	38.133889	E127320100	127.533611	01500	W008022 0106		WGE	200208
KS99813	C 328 HELIPORT	KS		RK	RK79	WGE	N38031670	38.054639	E127313860	127.527389	01183	W008007 0106		WGE	200208
KS99814	C 330 HELIPORT	KS		RK	RK80	WGE	N38075800	38.132778	E127400600	127.668333	00400	W008031 0106		WGE	200212
KS99815	C 430 HELIPORT	KS		RK	RK81	WGE	N38050000	38.083332	E127580001	127.966670	00795	W008038 0106		WGE	200302
KS99818	C 429 HELIPORT	KS		RK	RK83	WGE	N38075508	38.131967	E128010893	128.019147	00310	W008051 0106		WGE	200302
KS99819	C 423 HELIPORT	KS		RK	RK84	WGE	N38085570	38.148806	E128360610	128.601694	00050	W008083 0106		WGE	200511
KS99820	C 434 HELIPORT	KS		RK	RK85	WGE	N38171796	38.288322	E128293908	128.494190	00545	W008104 0106		WGE	200302
KS99821	C 329 HELIPORT	KS		RK	RK86	WGE	N37412300	37.689722	E127513600	127.860000	00500	W007559 0106		WGE	200302
KS99822	C 425 HELIPORT	KS		RK	RK87	WGE	N37565720	37.949222	E128190970	128.319361	00960	W008031 0106		WGE	200204
KS99823	C 533 HELIPORT	KS		RK	RK88	WGE	N37150000	37.250000	E127105999	127.183330	00450	W007438 0106		WGE	200205
KS99844	H 221 HELIPORT	KS		RK	RK05	WGE	N37552520	37.923667	E127050240	127.084000	00280	W007556 0106		WGE	200204
KS99912	G 290	KS		RK	RK3B	WGE	N37362643	37.607342	E127131292	127.220256	00174	W007506 0106		WGE	200208
KS99928	C 424 HELIPORT	KS		RK	RK3S	WGE	N37193200	37.325556	E127574100	127.961389	00580	W007496 0106		WGE	200302
UK00523	HEATHROW	UK		EGLL	N	WGE	N51283900	51.477500	W000274100	-0.461389	00083	W002241 0106	London	WGE	200211
