HELI_IDENT	RMK_SEQ	REMARKS	CYCLE_DATE




GM00005	1	RESTRICTED -   1.  MAND QUIET HRS 1100-1200Z++ MON - FRI, PPR FOR FLT / GND OPS.2.  OVFT OF PATRIOT SITE 1NM NW OF HELIPORT PROH.  3.  MAX IAS FOR ALL CRDRS AND N TFC IS 100 KIAS.  S TFC IS 80 KIAS.	200512



GM00005	2	TRAFFIC PATTERN -   1.  DAYTIME TFC PAT ALT FOR N TFC IS 2500 MSL;  S TFC IS 2000 MSL.  ALL UNAIDED NGT / NVD TFC PAT ALT IS 2000 MSL. NOISE ABATEMENT -  1.  DO NOT OVERFLY THE TOWNS OF ANSBACH, EYB, HELISBRONN, HER	200512



GM00005	3	RIEDEN, KULBINGEN, LEHRBERG, NEUENDETTELSAU, NEUKIRCHEN, OBEREICHENBACH, SACHSEN, WICKLESGREUTH, WOLFRAMS-ESCHENBACH, KATTERBACH HSG AREA BRODSWIDNEN, BRUCKBERG, UNTEREICHENBACH, AND ANSBACH HOSP N OF THE TOWN OF ANSBACH.	200512



GM00005	4	MISCELLANEOUS -  1.  ALL MGRS AND LAT/LONG COORD ARE BASED ON WGS 84 MAP DATUM. 2.  THE FOLLOWING INFO IS PROVIDED FOR DOPPLER EQUIPPED HELICOPTERS:    ANSBACHAHP:  PV1912 6301 N 49  18.493 E 010  38.323        LINDACH (ROAD INTERSECT):PV	200512



GM00005	5	1400 7137 N 49  23.061 E 010  34.245  RIDGE (TOP OF RIDGE):  PV 1642 6865 N 49 21.566 E 010  36.197  WHISKEY (POND):  PV 1677 6258 N 49  18.287 E 010  36.380 CHARLIE (TRIANGLE INTERSECT):  PV 2671 6875 N 49  21.497 E 010  44.698  BRAVO (	200512



GM00005	6	ROAD T):  PV 2213 6684 N 49  20.523 E 010  40.880  ALPHA (ROAD T):  PV 2127 6510N 49  19.594 E010  40.138  POWER STATION (TRANSFER STATION):  PV 1827 6114 N49 17.493 E 010  37.592  AUTOBAHN (A6/ B13):  PV 1562 5725 N 49  15.425 E 010 35.3	200512



GM00005	7	38  X-RAY (ROAD T):  PV 14475495 N 49  14.197 E 010  34.351  WINKEL (ROAD T):  PV 1447 5175 N 49  12.471 E 010  34.296  BRIDGE (RR BRIDGE):  PV 2232 6235 N49  18.098 E 010  40.954  SIERRA (WATER BRIDGE):  PV 26026160 N 49  17.648 E 010  43.	200512



GM00005	8	992  FIVE TREES (TREESIN FIELD):  PV 2820 5980 N 49  16.650 E 010  45.756  SPECKHEIM (ROAD T):  PV 3182 5485 N 49  13.934 E 010  48.643    3.  FOR SPECIAL NOTES, SEE GEN DATA.	200512



GM00005	9	ARRIVALS -   1.  INBD ACFT CTC TWR 5 MIN PRIOR TO REACHING FST RPT PT.  2.  DAYTIME CORRIDOR ALT IS 2500 MSL INBD.  UNAIDED NGT / NVD IS 2000 MSL.  3.  BETWEEN SS AND SR CRDRS LINDACH AND SPECKHEIM ARE INBD ONLY.	200512



