HELI_IDENT	RTE_IDENT	SEG_NBR	RTE_NAME	PT_NAME	PT_IDENTITY	PT_WGS_LAT	PT_WGS_DLAT	PT_WGS_LONG	PT_WGS_DLONG	UTM_GRID	PT_LAT_OFF_R	PT_DLAT_OFF_R	PT_LONG_OFF_R	PT_DLONG_OFF_R	PT_LAT_OFF_L	PT_DLAT_OFF_L	PT_LONG_OFF_L	PT_DLONG_OFF_L	PT_TYPE	PT_SYM	AT_HELI	SEG_NAME	MAG_CRS	PATH_CODE	ALT_DESC	ALT	TURN_DIR	CYCLE_DATE
GM00005	265	10	LINDACH ARR	Lindach	Road Int.	N49230360	49.384333	E010341500	10.570833	32UPV140	N49224412	49.378922	E010334011	10.561141					S	C	N			A	AT	02500		200511
GM00005	265	20	LINDACH ARR	Ridge	Top of Ridge	N49213420	49.3595	E010361200	10.603333	32UPV164	N49212332	49.356478	E010352924	10.591456					N	N	N		1390	A	AT	02500		200511
GM00005	265	30	LINDACH ARR	Whiskey	Pond	N49181740	49.304833	E010362280	10.606333	32UPV167	N49175425	49.298401	E010355369	10.598248					N	C	N		1780	A	AT	02500		200511
GM00005	265	40	LINDACH ARR	ANSBACH AHP	ETEB	N49182959	49.308219	E010381938	10.638717	32UPV191	N49175999	49.299998	E010382663	10.64073					E		Y		810	A				200511
GM00005	267	10	CHARLIE ARR	Charlie	Triangle Int.	N49213000	49.358333	E010444200	10.745	32UPV267	N49215790	49.366084	E010442524	10.740345					S	C	N			A	AT	02500		200511
GM00005	267	20	CHARLIE ARR	Bravo	Road T	N49203120	49.342	E010405280	10.681333	32UPV221	N49205348	49.348188	E010402211	10.672807					N	N	N		2480	A	AT	02500		200205
GM00005	267	30	CHARLIE ARR	Alpha	Road T	N49193540	49.3265	E010400840	10.669	32UPV212	N49195360	49.331554	E010393196	10.658877					N	N	N		2070	A	AT	02500		200511
GM00005	267	40	CHARLIE ARR	ANSBACH AHP	ETEB	N49182959	49.308219	E010381938	10.638717	32UPV191	N49185161	49.314337	E010374828	10.630079					E		Y		2270	A				200511
GM00005	268	10	CHARLIE DEP	ANSBACH AHP	ETEB	N49182959	49.308219	E010381938	10.638717	32UPV191	N49180757	49.302103	E010385048	10.647356					S		Y			D				200511
GM00005	268	20	CHARLIE DEP	Alpha	Road T	N49193540	49.3265	E010400840	10.669	32UPV212	N49191720	49.321445	E010404484	10.679121					N	N	N		470	D	AT	02000		200511
GM00005	268	30	CHARLIE DEP	Bravo	Road T	N49203120	49.342	E010405280	10.681333	32UPV221	N49200892	49.335811	E010412349	10.689857					N	N	N		270	D	AT	02000		200511
GM00005	268	40	CHARLIE DEP	Charlie	Triangle Int.	N49213000	49.358333	E010444200	10.745	32UPV267	N49210210	49.350585	E010445879	10.749663					E	C	N		680	D	AT	02000		200511
GM00005	269	10	SPECKHEIM ARR	Speckheim	Road T	N49135580	49.232167	E010483840	10.810667	32UPV318	N49141287	49.236907	E010491603	10.82112					S	C	N			A	AT	02500		200205
GM00005	269	20	SPECKHEIM ARR	Five Trees	Trees in field	N49163900	49.2775	E010454560	10.762667	32UPV282	N49165904	49.283066	E010461967	10.772131					N	N	N		3250	A	AT	02500		200511
GM00005	269	30	SPECKHEIM ARR	Sierra	Water Bridge	N49173900	49.294167	E010435940	10.733167	32UPV260	N49180576	49.301599	E010442006	10.738905					N	N	N		3110	A	AT	02500		200511
GM00005	269	40	SPECKHEIM ARR	Bridge	RR Bridge	N49180600	49.301667	E010405700	10.6825	32UPV223	N49183523	49.309785	E010410717	10.685326					N	N	N		2830	A	AT	02500		200511
GM00005	269	50	SPECKHEIM ARR	ANSBACH AHP	ETEB	N49182959	49.308219	E010381938	10.638717	32UPV191	N49185881	49.316335	E010382962	10.641562					E		Y		2830	A				200511
GM00005	270	10	SPECKHEIM DEP	ANSBACH AHP	ETEB	N49182959	49.308219	E010381938	10.638717	32UPV191	N49180037	49.300103	E010380917	10.63588					S		Y			D				200511
GM00005	270	20	SPECKHEIM DEP	Bridge	RR Bridge	N49180600	49.301667	E010405700	10.6825	32UPV223	N49173677	49.293548	E010404683	10.679675					N	N	N		1030	D	AT	02000		200511
GM00005	270	30	SPECKHEIM DEP	Sierra	Water Bridge	N49173900	49.294167	E010435940	10.733167	32UPV260	N49171224	49.286734	E010433875	10.72743					N	N	N		1030	D	AT	02000		200511
GM00005	270	40	SPECKHEIM DEP	Five Trees	Trees in field	N49163900	49.2775	E010454560	10.762667	32UPV282	N49161896	49.271933	E010451154	10.753204					N	N	N		1310	D	AT	02000		200511
GM00005	270	50	SPECKHEIM DEP	Speckheim	Road T	N49135580	49.232167	E010483840	10.810667	32UPV318	N49133872	49.227421	E010480079	10.80022					E	C	N		1450	D	AT	02000		200511
GM00005	271	10	WINKEL ARR	Winkel	Road T	N49122820	49.207833	E010341800	10.571667	32UPV144	N49122763	49.207675	E010350374	10.584372					S	C	N			A	AT	02500		200511
GM00005	271	20	WINKEL ARR	X-ray	Road T	N49141200	49.236667	E010342100	10.5725	32UPV144	N49140453	49.234591	E010350533	10.584814					N	N	N		10	A	AT	02500		200511
GM00005	271	30	WINKEL ARR	Autobahn	A6/B13	N49152580	49.257167	E010352040	10.589	32UPV156	N49151006	49.252795	E010355937	10.599826					N	N	N		270	A	AT	02500		200511
GM00005	271	40	WINKEL ARR	Power Station	Transfer Station	N49172940	49.2915	E010373540	10.6265	32UPV182									N	N	N		350	A	AT	02500		200205
GM00005	271	50	WINKEL ARR	ANSBACH AHP	ETEB	N49182959	49.308219	E010381938	10.638717	32UPV191	N49181667	49.30463	E010390074	10.650206					E	N	Y		250	A				200511
GM00005	272	10	WINKEL DEP	ANSBACH AHP	ETEB	N49182959	49.308219	E010381938	10.638717	32UPV191	N49184251	49.311809	E010373802	10.627227					S	N	Y			D				200511
GM00005	272	20	WINKEL DEP	Power Station	Transfer Station	N49172940	49.2915	E010373540	10.6265	32UPV182	N49174463	49.295732	E010365593	10.615537					N	N	N		2050	D	AT	02000		200511
GM00005	272	30	WINKEL DEP	Autobahn	A6/B13	N49152580	49.257167	E010352040	10.589	32UPV156	N49154153	49.261537	E010344142	10.578172					N	N	N		2150	D	AT	02000		200511
GM00005	272	40	WINKEL DEP	X-ray	Road T	N49141200	49.236667	E010342100	10.5725	32UPV144	N49141947	49.238741	E010333667	10.560185					N	N	N		2070	D	AT	02000		200511
GM00005	272	50	WINKEL DEP	Winkel	Road T	N49122820	49.207833	E010341800	10.571667	32UPV144	N49122876	49.20799	E010333226	10.558961					E	C	N		1810	D	AT	02000		200511
GM00005	286	10	LINDACH DEP	ANSBACH AHP	ETEB	N49182959	49.308219	E010381938	10.638717	32UPV191	N49185919	49.316441	E010381215	10.636708					S		Y			D				200511
GM00005	286	20	LINDACH DEP	Whiskey	Pond	N49181740	49.304833	E010362280	10.606333	32UPV167	N49184055	49.311265	E010365191	10.614421					N	C	N		2610	D	AT	02000		200511
GM00005	286	30	LINDACH DEP	Ridge	Top of Ridge	N49213420	49.3595	E010361200	10.603333	32UPV164	N49214508	49.362521	E010365476	10.615212					N	N	N		3580	D	AT	02000		200511
GM00005	286	40	LINDACH DEP	Lindach	Road Int.	N49230360	49.384333	E010341500	10.570833	32UPV140	N49232307	49.389741	E010344991	10.580532					E	C	N		3190	D	AT	02000		200511
GM00007	32	10	DIEBURG ARR	DIEBURG		N49533500	49.893056	E008513000	8.858333	32UMA898	N49530628	49.885079	E008514328	8.862022					S	C	N			A	AA	01000		200512
GM00007	32	20	DIEBURG ARR	SCHAAFEIM		N49551500	49.920833	E009001000	9.002778	32UNA001	N49550405	49.917792	E009005321	9.014781					N	N	N		700	A	AA	01000		200512
GM00007	32	30	DIEBURG ARR	BABENHAUSEN AHP	ETEF	N49571700	49.954723	E008581800	8.971666	32UMA979	N49573227	49.958965	E008585797	8.98277					E		Y		3200	A				200511
GM00007	34	10	DIEBURG DEP	BABENHAUSEN AHP	ETEF	N49571700	49.954723	E008581800	8.971666	32UMA979	N49570172	49.950477	E008573804	8.960567					S		Y			D				200511
GM00007	34	20	DIEBURG DEP	SCHAAFEIM		N49551500	49.920833	E009001000	9.002778	32UNA002	N49552594	49.923873	E008592678	8.990773					N	N	N		1400	D	AA	01000		200512
GM00007	34	30	DIEBURG DEP	DIEBURG		N49533500	49.893056	E008513000	8.858333	32UMA899	N49540373	49.901037	E008511680	8.854667					E	C	N		2500	D	AA	01000		200512
GM00007	35	10	AUTOBAHN ARR	AUTOBAHN		N49592500	49.990278	E009032000	9.055556	32UNA040	N49593820	49.993945	E009023826	9.043962					S	C	N			A	AA	01000		200512
GM00007	35	20	AUTOBAHN ARR	SCHAAFEIM		N49551500	49.920833	E009001000	9.002778	32UNA002	N49554495	49.929152	E009000816	9.002268					N	N	N		2050	A	AA	01000		200512
GM00007	35	30	AUTOBAHN ARR	BABENHAUSEN AHP	ETEF	N49571700	49.954723	E008581800	8.971666	32UMA979	N49573227	49.958965	E008585797	8.98277					E		Y		3200	A				200511
GM00007	36	10	AUTOBAHN DEP	BABENHAUSEN AHP	ETEF	N49571700	49.954723	E008581800	8.971666	32UMA979	N49570172	49.950477	E008573804	8.960567					S		Y			D				200511
GM00007	36	20	AUTOBAHN DEP	SCHAAFEIM		N49551500	49.920833	E009001000	9.002778	32UNA002	N49544505	49.912515	E009001184	9.003288					N	N	N		1400	D	AA	01000		200512
