Agathazeller Moos		123.350				2.385 ft 					47,56  	10,27  	47	33	22	10	16	20
Aichach		122.300				1.444 ft 					48,48  	11,14  	48	28	33	11	8	13
Alsfeld		123.500				951 ft 	24. Jun				50,75  	9,25  	50	44	56	9	14	56
Altdorf Hagenhausen		129.975				1.752 ft 	23. Mai	500 m 		G	49,39  	11,42  	49	23	12	11	25	17
Alte Ems Herbrum		123.150				8 ft 					53,03  	7,30  	53	1	53	7	18	17
Altenbachtal		123.500				433 ft 					49,92  	9,16  	49	55	24	9	9	28
Altfeld		130.125	123.500			1.129 ft 					49,83  	9,54  	49	49	55	9	32	14
Altötting		123.500				1.311 ft 					48,22  	12,65  	48	12	59	12	38	49
Am Hohen Polster		123.425									50,49  	10,05  	50	29	21	10	3	10
Am Salzgittersee		130.125				266 ft 	22. Apr	585 m 		G	52,17  	10,32  	52	10	11	10	18	57
Am Stauffenberg		123.500				1.148 ft 					51,36  	9,63  	51	21	42	9	37	39
Amöneburg		122.475				787 ft 					50,79  	8,91  	50	47	24	8	54	21
An den Sieben Bergen		123.500				410 ft 					52,06  	9,81  	52	3	30	9	48	39
Andernach		123.500				410 ft 					50,37  	7,44  	50	22	24	7	26	19
Annaberg		122.000									50,57  	13,02  	50	34	26	13	1	25
Antersberg		123.350				1.604 ft 					47,96  	12,00  	47	57	47	11	59	44
Arnsberg Ruhrwiel		123.400				591 ft 	23. Mai				51,40  	8,07  	51	23	46	8	3	57
Asperden Knobbenh		123.500				52 ft 	28. Okt	760 m 		G	51,69  	6,10  	51	41	27	6	6	13
Asslarer Hütte		129.975				761 ft 	18/36	600 m 		G	50,60  	8,44  	50	35	53	8	26	38
Aue Bei Hattorf		122.200				617 ft 					51,63  	10,25  	51	37	59	10	15	8
Auf der Schaufel		123.350				1.017 ft 					51,10  	9,15  	51	5	46	9	8	46
Aukrug		123.350				82 ft 					54,06  	9,80  	54	3	51	9	48	3
Aventoft		122.400				2 ft 					54,90  	8,82  	54	53	46	8	49	11
Babenhausen		123.150				436 ft 					49,95  	8,97  	49	56	56	8	57	56
Bad Brückenau		123.350				1.321 ft 					50,27  	9,82  	50	16	19	9	49	26
Bad Buchau		123.150				1.904 ft 					48,06  	9,65  	48	3	28	9	38	51
Bad Königshofen		130.125				1.027 ft 					50,29  	10,42  	50	17	15	10	25	20
Bad Kreuznach		118.275				342 ft 					49,85  	7,89  	49	51	6	7	53	26
Bad Marienberg		129.975				1.729 ft 					50,66  	8,03  	50	39	44	8	1	42
Bad Waldsee		123.000		S	3000	1.887 ft 	15/33	660 m 		G	47,91  	9,70  	47	54	52	9	41	56
Bad Wörishofen		123.350				2.034 ft 					48,02  	10,62  	48	0	59	10	36	58
Bad Zwischenahn		123.500				30 ft 					53,21  	7,99  	53	12	39	7	59	20
Baldenau		122.475				367 ft 					48,87  	8,21  	48	52	26	8	12	50
Bartholomä		123.350				2.090 ft 					48,74  	10,01  	48	44	12	10	0	28
Baumerlenbach		123.150				758 ft 					49,23  	9,42  	49	13	51	9	25	5
Benediktbeuren		123.500				1.991 ft 					47,72  	11,39  	47	42	57	11	23	26
Bensheimer Stadtw		123.375				328 ft 					49,69  	8,58  	49	41	24	8	34	57
Bergheim		130.125				230 ft 					50,97  	6,61  	50	57	54	6	36	28
Berliner Heide		123.500				226 ft 					52,67  	10,37  	52	40	12	10	22	12
Berneck		123.475				2.447 ft 					48,57  	9,73  	48	34	27	9	43	44
Bischofsberg		122.200				1.083 ft 					50,43  	10,29  	50	25	57	10	17	10
Bisperode West		123.500				558 ft 					52,08  	9,48  	52	4	42	9	28	36
Blexen Bei Nordhs		123.500				10 ft 					53,54  	8,54  	53	32	21	8	32	22
Boberg		122.200				7 ft 					53,51  	10,15  	53	30	48	10	9	11
Bohlenberger Feld		123.500				26 ft 					53,42  	7,90  	53	25	7	7	54	13
Bolhof		129.975				1.863 ft 					47,65  	8,39  	47	39	3	8	23	12
Bollrich		123.150	123.475			892 ft 					51,91  	10,46  	51	54	22	10	27	44
Borghorst Füchte		123.350				164 ft 					52,15  	7,45  	52	9	3	7	27	11
Brannenburg		122.500				1.512 ft 					47,74  	12,12  	47	44	30	12	6	54
Braunfels		123.150				787 ft 					50,52  	8,39  	50	31	16	8	23	27
Brockzetel		123.500				30 ft 					53,48  	7,66  	53	28	54	7	39	25
Büchel		122.100				1.561 ft 					50,18  	7,06  	50	10	30	7	3	53
Büchig		123.375				1.260 ft 					50,45  	10,25  	50	26	55	10	15	10
Bückeburg Weinberg		129.975				262 ft 					52,25  	9,02  	52	15	8	9	1	8
Bundenthal Rumbach		123.350				942 ft 					49,10  	7,79  	49	5	43	7	47	34
Büren Schwalnberg		123.350				909 ft 					51,54  	8,58  	51	32	35	8	34	54
Burgberg Witznhau		123.500				699 ft 					51,35  	9,83  	51	21	3	9	49	32
Burgheim Schwaben		123.350				1.325 ft 					48,69  	11,03  	48	41	27	11	1	56
Butzbach Pfingstw		123.475				1.083 ft 					50,44  	8,63  	50	26	17	8	37	30
Cham  Janahof		130.125	123.150			1.201 ft 					49,21  	12,66  	49	12	36	12	39	25
Crawinkel		126.500		NW	2200	1.552 ft 	23. Mai	500 m 		G	50,78  	10,82  	50	46	39	10	48	54
Daun Senfeld		123.350	123.500			1.722 ft 					50,18  	6,86  	50	10	45	6	51	53
Deckenpfronn Egls		130.125	123.500			1.896 ft 					48,64  	8,82  	48	38	14	8	49	4
Degmann		123.500				509 ft 					49,26  	9,28  	49	15	31	9	16	38
Dehausen Diemelst		123.150				984 ft 					51,46  	9,05  	51	27	48	9	2	56
Der Dingel Hümme		123.150				741 ft 					51,54  	9,38  	51	32	14	9	22	56
Der Ring Schwalms		123.375				696 ft 					50,89  	9,25  	50	53	29	9	14	56
Dillingen		130.125				804 ft 					49,39  	6,75  	49	23	12	6	44	55
Dobenreuth		123.350				1.066 ft 					49,69  	11,15  	49	41	23	11	8	50
Dornberg Sontra		123.500				1.345 ft 					51,09  	9,92  	51	5	17	9	55	5
Dornsode		123.350				23 ft 					53,58  	9,04  	53	34	37	9	2	22
Dorsten Kanal		123.350				118 ft 					51,66  	6,99  	51	39	41	6	59	6
Dürabuch		123.500				1.739 ft 					48,26  	11,21  	48	15	47	11	12	36
